,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-3830.46,428.03,0.32515,1.16702,0.90865,1.0
1,-5700.92,1424.66,0.27476,1.13482,0.84217,1.82983
2,-5636.51,1394.4,0.33121,1.15657,0.90949,1.0701
3,-5832.31,1374.33,0.16014,1.07718,0.69873,0.52724
4,-5894.75,1289.48,0.16129,1.12549,0.72403,0.30177
5,-5905.64,1239.0,0.12614,1.05422,0.65325,0.21069
6,-5816.74,1242.51,0.06654,1.04128,0.58718,0.10104
7,-5938.39,1308.04,0.0537,1.02511,0.56626,0.04406
8,-5752.33,1285.18,0.00922,1.0701,0.54427,0.0223
9,-5865.11,1391.83,0.02627,1.01322,0.53288,0.0206
10,-5562.82,1369.17,0.00228,0.98558,0.49507,0.01348
11,-6056.14,1522.89,0.00184,0.9978,0.50074,0.01777
12,-5790.03,1267.54,0.00744,1.02182,0.51835,0.01844
13,-5515.99,1267.25,-0.0013,1.00697,0.50219,0.01781
14,-5651.28,1364.2,0.03135,0.97834,0.52052,0.02888
15,-5802.2,1475.42,0.02563,0.9998,0.52553,0.0413
16,-5943.02,1264.41,0.00391,1.01591,0.51186,0.02773
17,-5811.54,1326.71,0.02911,0.98805,0.52313,0.02246
18,-5617.61,1277.18,0.0279,0.99772,0.52676,0.02298
19,-5530.48,1254.61,0.00279,1.0012,0.50339,0.01805
20,-5834.84,1293.79,0.00614,0.99132,0.5018,0.01308
21,-5567.93,1512.74,-0.00163,0.98835,0.49255,0.01324
22,-5673.57,1293.22,0.00228,0.97858,0.49157,0.00772
23,-5837.8,1196.95,-0.01227,1.00409,0.48978,0.0106
24,-5912.61,1428.31,-0.00796,0.99805,0.49106,0.00824
25,-5982.05,1459.31,0.01164,0.97904,0.50116,0.02157
26,-5899.18,1399.51,-0.00432,0.9816,0.48648,0.00288
27,-5883.06,1251.55,0.00506,0.98694,0.49853,0.0183
28,-5867.75,1313.32,-0.00414,0.99375,0.49274,0.01759
29,-5825.83,1492.24,-0.0074,0.98691,0.48606,0.0085
30,-5879.79,1567.85,-0.00465,0.96684,0.47876,0.00446
31,-5691.1,1228.06,0.0032,0.99532,0.50086,0.00581
32,-5634.43,1344.32,0.03497,0.98187,0.5259,0.02475
33,-5615.33,1295.7,0.02306,0.98243,0.51428,0.03003
34,-5885.56,1437.19,0.01971,0.9883,0.51386,0.02692
35,-5778.0,1333.06,0.0064,0.99672,0.50476,0.01645
36,-5871.18,1449.43,0.0105,0.96541,0.49321,0.01102
37,-5804.49,1242.37,0.08704,0.98724,0.58066,0.07623
38,-6074.35,1370.7,0.07169,0.97351,0.55844,0.2198
39,-5956.28,1558.3,0.24782,0.98599,0.74081,0.64601
40,-5790.84,1433.6,0.05704,0.98103,0.54755,0.25264
41,-5886.59,1395.14,0.08943,0.96024,0.56955,0.10428
42,-5800.48,1348.58,0.02538,0.98175,0.51626,0.0807
43,-5777.75,1366.85,0.02111,0.98077,0.5115,0.02783
44,-5700.07,1303.05,0.01512,0.97342,0.50183,0.01712
45,-5734.2,1189.56,0.02871,0.97584,0.51663,0.01602
46,-5720.55,1528.29,-0.00066,0.97532,0.487,0.00808
47,-5870.79,1363.93,-0.00443,0.97814,0.48464,0.00873
48,-5806.27,1416.48,0.01578,0.98181,0.50669,0.02442
49,-5603.0,1255.1,0.00657,0.97424,0.49369,0.04159
50,-6049.71,1454.77,0.01018,0.96438,0.49237,0.03579
51,-5943.38,1229.82,0.02331,0.98104,0.51383,0.0255
52,-5897.8,1344.07,0.01914,0.99687,0.51757,0.02721
53,-5852.65,1397.8,0.00617,0.98382,0.49808,0.01344
54,-5764.28,1272.66,0.00144,0.97938,0.49113,0.0281
55,-6081.5,1414.54,0.00651,0.96945,0.49123,0.01074
56,-5926.14,1213.53,0.00303,0.96622,0.48614,0.01537
57,-5644.32,1361.05,0.00796,0.9902,0.50306,0.00699
58,-5459.58,1185.18,0.00857,1.00485,0.511,0.01053
59,-5816.98,1448.51,0.00156,0.99135,0.49723,0.00698
60,-5821.98,1449.93,0.00257,0.97406,0.4896,0.00638
61,-5812.41,1479.56,-0.00765,0.97886,0.48178,0.00461
62,-5647.58,1228.74,0.00838,0.96202,0.48939,0.01471
63,-5868.03,1342.71,0.00109,0.99904,0.50061,0.00613
64,-5990.56,1185.98,0.01232,0.99621,0.51043,0.00956
65,-5566.75,1226.69,0.00618,0.99399,0.50317,0.01328
66,-5924.18,1462.76,-0.00382,0.99132,0.49184,0.00637
67,-5588.91,1284.36,-0.00424,0.97754,0.48453,0.00254
68,-5796.28,1346.1,-0.0095,0.98301,0.482,0.00335
69,-5681.14,1348.58,0.00066,0.96567,0.48349,0.00886
70,-5750.23,1226.39,-0.00328,0.95852,0.47598,0.00935
71,-5846.08,1550.25,-0.0041,0.97064,0.48122,0.0054
72,-5544.33,1435.5,0.0389,0.97563,0.52671,0.03571
73,-5730.23,1345.94,0.05373,1.0061,0.55678,0.03376
74,-5525.77,1133.83,0.04464,0.97556,0.53242,0.05133
75,-5792.87,1352.07,2e-05,0.93774,0.46889,0.03457
76,-5941.62,1308.14,0.00815,0.95087,0.48358,0.02195
77,-5733.18,1492.56,0.00873,0.96843,0.49295,0.01889
78,-5766.97,1240.32,-0.00173,0.95414,0.47534,0.0094
79,-5785.38,1272.18,0.00241,0.95504,0.47993,0.00711
80,-5743.96,1527.21,-0.00868,0.9943,0.48847,0.00175
81,-5801.5,1329.93,-0.00504,0.99554,0.49273,0.001
82,-5773.84,1340.63,-0.00022,0.96622,0.48289,0.00194
83,-5873.2,1412.88,-0.01448,0.96425,0.46764,0.005
84,-5716.9,1205.08,-0.00512,0.99226,0.49101,0.00626
85,-5815.44,1394.95,-0.00295,0.96894,0.48151,0.00297
86,-5672.75,1300.93,-0.01081,0.94266,0.46053,0.00942
87,-5817.0,1316.2,0.00452,0.99208,0.50056,0.0127
88,-5713.74,1396.51,-0.00831,0.96031,0.47185,0.00416
89,-5764.2,1345.12,-0.00822,0.95285,0.46821,0.00636
90,-5960.22,1341.12,-0.00545,0.94501,0.46706,0.01466
91,-5559.54,1228.84,0.01012,0.96999,0.49511,0.00894
92,-6152.36,1248.74,0.00653,0.96571,0.48938,0.01049
93,-5807.44,1232.71,-0.01138,0.97444,0.47584,0.01043
94,-5701.85,1215.08,-0.00013,0.96643,0.48309,0.00386
95,-5779.32,1397.53,0.00585,0.98244,0.49707,0.00406
96,-5489.55,1172.3,-0.00133,0.99632,0.49683,0.00944
97,-5899.44,1501.22,0.00686,0.951,0.48236,0.0056
98,-5667.13,1393.49,0.00241,0.95925,0.48204,0.00168
99,-5887.73,1367.93,0.01564,0.96434,0.49781,0.00954
100,-5661.52,1660.46,0.00012,0.98359,0.49192,0.00205
101,-5685.53,1416.11,-0.00022,0.95814,0.47885,0.00101
102,-5467.93,1202.87,-0.00339,0.98212,0.48767,0.00428
103,-5682.64,1312.69,-0.00186,0.95176,0.47402,0.00676
104,-5751.45,1257.12,-0.0009,0.97439,0.48629,0.0012
105,-5631.44,1324.06,-0.00064,0.94626,0.47249,0.00064
106,-5687.38,1521.76,-0.00094,0.89484,0.44648,0.0005
