,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-5363.58,540.39,0.38443,1.47287,1.12086,1.0
1,-6329.35,1116.01,0.21613,1.07033,0.7513,0.46423
2,-6424.25,1000.18,0.23105,1.14669,0.8044,0.25767
3,-6395.16,1121.54,0.11542,1.073,0.65192,0.12015
4,-6362.68,1080.98,0.11391,1.07409,0.65095,0.08299
5,-6219.91,934.49,0.00195,1.03227,0.51809,0.03829
6,-6385.86,1146.07,0.02475,1.0052,0.52735,0.03884
7,-6314.17,1260.49,-0.00927,1.05837,0.51992,0.04043
8,-6438.11,968.83,0.00742,1.03188,0.52336,0.03393
9,-6424.29,1036.27,0.02001,1.03995,0.53998,0.04207
10,-6292.96,988.49,0.00751,1.03127,0.52314,0.02318
11,-6382.29,1082.53,0.03031,1.09303,0.57683,0.02602
12,-6408.67,1021.5,0.00061,1.01878,0.51,0.01681
13,-6312.46,1156.08,-0.00041,1.04387,0.52153,0.01539
14,-6317.05,1040.98,0.00439,1.01911,0.51395,0.01008
15,-6410.73,1083.26,-0.0021,1.01483,0.50531,0.00851
16,-6193.86,938.82,0.00234,1.0085,0.50659,0.00694
17,-6404.16,1133.56,-0.00157,1.02169,0.50927,0.01445
18,-6326.78,1144.02,-0.02188,1.01946,0.48785,0.02092
19,-6465.19,1109.36,-0.00611,1.00369,0.49573,0.02926
20,-6445.8,1083.02,0.01674,1.02192,0.5277,0.03281
21,-6514.07,970.57,0.0092,1.0155,0.51695,0.02118
22,-6149.51,994.7,0.00726,1.01036,0.51244,0.02632
23,-6412.69,1020.91,-0.01746,1.02603,0.49555,0.01009
24,-6393.47,1085.83,-0.00682,0.99103,0.48869,0.00894
25,-6359.03,976.88,0.02587,0.97884,0.51529,0.02792
26,-6153.78,1109.94,0.01261,1.01678,0.521,0.03303
27,-6326.04,1035.6,0.05522,1.02373,0.56709,0.04032
28,-6531.16,1220.25,0.02259,1.00139,0.52329,0.05075
29,-6537.13,1189.63,0.01295,0.99638,0.51114,0.02688
30,-6349.63,1128.84,-0.00547,1.00257,0.49582,0.0131
31,-6489.78,1100.94,-0.01091,1.00382,0.491,0.01263
32,-6350.93,1096.62,-0.01014,1.02746,0.50359,0.01084
33,-6389.28,1061.45,0.0151,0.92781,0.47901,0.02786
34,-6461.94,989.51,0.02353,0.95954,0.5033,0.02084
35,-6394.53,1059.22,0.01813,1.00923,0.52275,0.04985
36,-6424.66,1024.08,0.04094,0.95098,0.51643,0.0409
37,-6342.71,1119.83,0.00294,0.9754,0.49063,0.00696
38,-6440.87,1113.57,-0.00061,0.95043,0.47461,0.01938
39,-6333.32,1029.07,0.02129,0.98233,0.51245,0.02467
40,-6425.64,990.24,0.0023,1.03818,0.52138,0.03263
41,-6249.4,1001.93,0.01436,0.99549,0.5121,0.04151
42,-6272.36,912.71,0.02134,1.01269,0.52769,0.05747
43,-6434.97,1089.82,0.00862,0.99265,0.50494,0.02089
44,-6408.2,1079.46,0.00888,0.97534,0.49655,0.00545
45,-6415.35,1010.26,-0.0128,0.97333,0.47386,0.00946
46,-6321.77,1076.69,0.03007,0.99097,0.52555,0.01427
47,-6162.05,945.87,0.00813,0.98189,0.49908,0.0251
48,-6250.24,1018.82,-0.00611,0.95934,0.47356,0.02241
49,-6179.83,941.26,0.00654,1.03029,0.52168,0.01495
50,-6264.85,1079.82,-0.00285,0.9734,0.48385,0.01276
51,-6343.29,1173.75,-0.00318,0.9913,0.49247,0.01078
52,-6408.02,1259.62,-0.01149,0.9552,0.46611,0.00338
53,-6478.9,1159.87,-0.00619,0.96179,0.4747,0.02246
54,-6394.44,936.39,-0.0074,0.96311,0.47415,0.01012
55,-6318.96,923.68,0.0077,0.98385,0.49962,0.01429
56,-6257.92,1168.85,-0.01213,0.96947,0.47261,0.00962
57,-6434.68,1078.79,-0.00629,1.01301,0.50022,0.01193
58,-6372.73,1155.74,-0.00084,1.02303,0.51067,0.01385
59,-6344.07,1035.53,-0.0099,0.96551,0.47285,0.00639
60,-6444.07,1095.03,-0.01286,0.97715,0.47571,0.00487
61,-6245.6,994.03,-0.00476,0.99534,0.49291,0.01273
62,-6214.58,988.22,-0.00538,0.99507,0.49215,0.00555
