,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-3588.76,668.79,0.34892,1.1905,0.94417,1.0
1,-17636.64,4523.91,0.14164,1.19241,0.73785,0.38939
2,-18580.58,5157.98,0.15357,1.15491,0.73102,0.23528
3,-18857.94,5122.03,0.11948,1.10099,0.66997,0.17498
4,-16816.92,4975.92,0.06972,1.08566,0.61254,0.13377
5,-18598.41,5204.53,0.06346,1.04926,0.58809,0.10255
6,-17593.27,4874.24,0.06095,1.05501,0.58846,0.08937
7,-18652.79,5518.43,0.0212,1.02121,0.5318,0.06738
8,-18537.74,4626.96,0.03342,1.08886,0.57785,0.05222
9,-18265.18,4535.02,0.02926,1.04509,0.5518,0.04046
10,-17585.72,5185.01,0.0131,1.05328,0.53974,0.03654
11,-18752.9,4218.87,0.01625,1.03396,0.53323,0.03025
12,-18360.13,4865.02,0.0231,1.00999,0.5281,0.02328
13,-17988.64,5058.09,0.009,1.0134,0.5157,0.01365
14,-18049.15,4892.43,0.0136,1.03149,0.52934,0.01115
15,-17625.04,5184.24,0.00343,1.02316,0.51501,0.00846
16,-17672.22,5162.2,0.006,1.03761,0.5248,0.0101
17,-17685.37,4441.41,0.01181,1.04757,0.5356,0.01613
18,-17742.59,4478.39,0.00479,0.99759,0.50359,0.01368
19,-17857.47,4675.82,0.01776,1.02542,0.53047,0.01372
20,-18966.65,5228.35,-0.00547,0.99964,0.49435,0.00973
21,-18100.78,5547.53,-0.00336,0.99548,0.49438,0.00688
22,-18106.02,5188.14,-0.01076,0.99106,0.48477,0.00686
23,-18364.14,5441.41,-0.00285,1.01848,0.50639,0.00331
24,-19322.5,4654.11,-0.00215,1.01833,0.50701,0.00216
25,-18094.0,4507.9,-0.00135,1.02341,0.51035,0.00375
26,-17965.24,4959.05,-0.014,1.00651,0.48926,0.00345
27,-17893.36,4841.19,0.0008,0.99454,0.49807,0.0011
28,-18354.2,4933.67,0.00969,0.99765,0.50852,0.00876
29,-18142.16,4807.46,0.00548,0.99014,0.50055,0.00483
30,-18449.49,4828.45,-0.00664,0.97532,0.48102,0.00189
31,-17939.18,5163.22,0.00111,0.98171,0.49196,0.00105
32,-18658.03,5010.97,-0.00453,0.98869,0.48981,0.00203
33,-18442.97,4927.29,-0.0016,0.98985,0.49332,0.00141
34,-17611.36,5180.37,-0.00238,1.00128,0.49826,0.00053
35,-18508.76,5333.91,-0.00214,0.98676,0.49124,0.00069
36,-18703.13,5254.77,-0.00292,0.99244,0.4933,0.00199
37,-18797.38,4534.53,-0.01004,1.00907,0.4945,0.00173
38,-17184.36,4090.69,-0.00052,1.02719,0.51308,0.00233
39,-17270.71,4693.08,-0.00225,1.03187,0.51369,0.00224
40,-17802.15,4799.7,0.00619,0.99064,0.5015,0.01134
41,-17869.66,4853.2,0.00484,1.01317,0.51142,0.01107
42,-18992.99,5208.8,-0.00181,0.99485,0.49561,0.00762
43,-18739.09,4810.01,0.00527,1.01088,0.51071,0.00636
44,-18297.76,4737.61,0.00617,1.00397,0.50815,0.00878
45,-18136.44,4152.13,-0.00629,1.0106,0.49901,0.00617
46,-18215.05,4925.34,-0.01101,0.97911,0.47854,0.00477
47,-17981.53,4211.24,-0.002,1.03822,0.51711,0.00429
48,-18961.81,4812.79,-0.00219,0.98233,0.48898,0.00386
49,-18003.76,4967.0,0.00273,0.98377,0.49461,0.00959
50,-17817.93,5084.39,0.00331,0.99992,0.50327,0.00424
51,-18285.16,4748.23,0.00343,1.00652,0.50669,0.00632
52,-18539.78,4647.12,-0.0015,1.00539,0.50119,0.00573
53,-18062.72,4559.94,0.00265,0.98419,0.49475,0.00489
54,-17792.84,4721.33,0.00113,0.99346,0.49786,0.00275
55,-18019.43,4527.25,-0.00629,0.98096,0.48419,0.00283
56,-17820.87,4842.5,-0.00468,1.00685,0.49875,0.00113
57,-18185.23,4595.53,-0.0015,0.97942,0.48821,0.00319
58,-17894.11,4973.6,-0.00453,0.96489,0.47791,0.00344
59,-18787.04,5121.06,-0.00153,0.95747,0.47721,0.00851
60,-18272.63,4924.33,0.0009,0.98345,0.49262,0.00522
61,-18175.37,4886.23,-0.00919,0.98213,0.48187,0.00233
62,-18772.64,5424.9,-0.00308,0.96435,0.4791,0.00294
63,-17555.23,4817.47,0.00294,0.98469,0.49529,0.00419
64,-17962.6,5092.29,-0.00258,0.98089,0.48787,0.00507
65,-17651.53,4554.71,-0.00469,1.00353,0.49708,0.00268
66,-17921.08,4747.05,-0.00039,0.97885,0.48903,0.00214
67,-18020.72,4457.75,-0.00059,0.99353,0.49618,0.00236
68,-17509.24,4780.79,-0.00099,0.99783,0.49792,0.00329
69,-18607.07,5030.82,-0.00343,0.98508,0.48911,0.00583
70,-18392.85,4663.24,0.00568,0.97445,0.4929,0.00896
71,-18008.17,4699.28,-0.00387,0.98624,0.48925,0.00177
72,-18027.99,4250.73,-0.002,0.99643,0.49621,0.00121
73,-17549.36,4241.18,-0.00433,0.9838,0.48757,0.00133
74,-16983.3,4908.75,-0.00669,0.97754,0.48208,0.0015
75,-18901.03,5104.54,-0.00734,0.96084,0.47308,0.00328
76,-17370.41,4881.38,-0.00151,0.97308,0.48502,0.00363
77,-17863.17,5210.86,0.00056,0.98214,0.49163,0.00839
78,-17484.06,4561.09,0.00687,0.97985,0.4968,0.00691
79,-18398.84,4320.02,-0.01118,0.99013,0.48388,0.01009
80,-18588.96,5155.31,0.00225,0.98922,0.49686,0.00794
81,-18070.06,4805.77,-0.00413,1.00611,0.49893,0.00654
82,-18334.68,4020.22,0.00171,0.99263,0.49802,0.00764
83,-17512.94,4587.93,-1e-05,0.97817,0.48908,0.00887
84,-18667.4,5686.25,0.00342,0.96983,0.48833,0.00765
85,-17924.71,4575.97,-0.00685,0.97207,0.47919,0.01047
86,-18120.21,4633.2,0.00499,0.97409,0.49204,0.00908
87,-18391.02,4471.16,-0.00511,0.96707,0.47842,0.00129
88,-17912.0,5047.29,-0.00582,0.95663,0.4725,0.0007
89,-17485.92,4943.89,-0.00681,0.98519,0.48579,0.00341
90,-17660.52,4595.3,-0.00534,0.98243,0.48587,0.00058
91,-17679.51,4522.29,0.00068,0.99227,0.49682,0.00384
92,-18411.42,5468.97,-0.00322,0.96876,0.48116,0.00641
93,-18113.13,4956.3,0.00028,0.96872,0.48464,0.00776
94,-19360.85,4955.53,0.00174,0.97532,0.48941,0.01283
95,-18457.17,5017.66,0.00998,0.98574,0.50286,0.01224
96,-19835.87,4581.43,0.01601,0.98838,0.5102,0.01915
97,-17770.57,4312.19,0.01358,0.98434,0.50575,0.01533
98,-18478.93,4808.57,-0.00786,0.97569,0.47999,0.01337
99,-17646.46,4807.91,-0.00158,0.97348,0.48515,0.01391
100,-18187.29,4896.89,-0.00109,0.9737,0.48576,0.00424
101,-18218.2,4656.58,-0.00679,1.00014,0.49328,0.00157
102,-18878.08,5304.57,-0.00638,0.99213,0.48969,0.0011
