,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-3012.45,292.68,0.30772,1.84481,1.23013,1.0
1,-5268.59,1320.39,0.14469,1.88818,1.08878,0.251
2,-5408.62,1493.66,0.05134,1.89986,1.00127,0.09132
3,-5868.08,1687.47,0.08127,1.71057,0.93655,0.09329
4,-5673.36,1640.11,0.07351,1.73453,0.94077,0.07627
5,-5516.03,1528.82,0.03813,1.7709,0.92358,0.08646
6,-5481.72,1411.27,0.04277,1.64794,0.86674,0.07616
7,-5426.86,1475.05,0.0739,1.6467,0.89725,0.08222
8,-5356.83,1389.28,0.0365,1.58233,0.82767,0.06244
9,-5431.0,1436.83,0.03465,1.49261,0.78095,0.03785
10,-5288.04,1318.77,0.0439,1.42916,0.75848,0.0455
11,-5351.9,1525.94,0.03092,1.40301,0.73242,0.03027
12,-5389.76,1365.1,0.00633,1.34862,0.68064,0.02593
13,-5246.5,1502.14,0.03672,1.38196,0.7277,0.02746
14,-5373.86,1510.76,0.00856,1.24965,0.63338,0.01961
15,-5440.37,1567.69,-0.01165,1.36347,0.67008,0.01107
16,-5508.81,1583.13,0.00073,1.2524,0.62692,0.0048
17,-5423.92,1445.59,-0.0034,1.24294,0.61807,0.00525
18,-5628.93,1387.41,-0.0075,1.15412,0.56956,0.003
19,-5413.49,1422.34,-3e-05,1.17867,0.5893,0.00198
20,-5647.86,1545.62,-0.00228,1.14878,0.57211,0.00184
21,-5342.6,1537.26,0.00251,1.15159,0.57831,0.00357
22,-5581.99,1550.05,-0.01205,1.05685,0.51637,0.0016
23,-5226.78,1386.74,-0.00281,1.15509,0.57473,0.00484
24,-5524.51,1509.62,0.0017,1.07393,0.53866,0.00675
25,-5634.71,1391.89,-0.00158,1.09246,0.54464,0.00304
26,-5473.53,1482.8,-0.00452,1.04675,0.51886,0.00235
27,-5433.91,1433.71,-0.00163,1.04907,0.52291,0.00321
28,-5524.45,1584.59,0.00045,1.02493,0.51291,0.00104
29,-5704.86,1636.05,-0.00114,1.04588,0.5218,0.00507
30,-5452.06,1334.91,-0.0037,1.04589,0.51925,0.01157
31,-5765.61,1589.47,0.00259,1.01432,0.50974,0.0071
32,-5365.15,1351.83,-0.00258,1.04284,0.51884,0.00063
33,-5403.27,1605.14,-0.00193,1.02374,0.50994,0.00169
34,-5466.02,1657.84,-0.00524,1.00203,0.49577,0.00189
35,-5403.67,1565.75,-0.00396,1.00492,0.4985,0.00093
36,-5552.62,1528.59,0.01196,1.0332,0.52856,0.00405
37,-5387.54,1528.77,-0.00233,0.98743,0.49139,0.00104
38,-5546.24,1386.48,-0.00414,1.00442,0.49807,0.00407
39,-5523.39,1395.04,-0.01119,0.99265,0.48514,0.00609
40,-5398.66,1491.32,0.01048,1.01954,0.52026,0.00715
41,-5256.6,1283.45,0.0024,1.03621,0.5205,0.00601
42,-5421.64,1467.51,-0.00409,1.00051,0.49616,0.0029
43,-5439.73,1531.03,0.00658,0.98344,0.4983,0.0047
44,-5287.13,1430.3,0.00657,1.00531,0.50923,0.0103
45,-5388.06,1426.93,0.01111,0.9751,0.49866,0.00862
46,-5374.58,1554.33,0.00071,1.01423,0.50783,0.00468
47,-5330.58,1445.95,0.00336,1.00253,0.50463,0.00531
48,-5319.54,1464.59,-0.01026,0.94701,0.46324,0.00871
