,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-2949.46,148.63,0.34695,1.03849,0.8662,1.0
1,-5718.15,1594.03,0.2634,1.13702,0.83191,0.97786
2,-5326.43,1299.91,0.13313,1.14979,0.70803,0.27619
3,-5232.54,1497.21,0.03824,1.02978,0.55313,0.14949
4,-5572.67,1658.62,0.11006,1.06462,0.64237,0.13897
5,-5702.53,1559.33,0.05709,1.13762,0.6259,0.08262
6,-5489.28,1679.16,0.06214,1.02856,0.57642,0.08242
7,-5635.12,1443.32,0.02313,1.01289,0.52957,0.04694
8,-5731.08,1650.49,0.02253,1.07934,0.5622,0.0444
9,-5550.79,1583.48,0.03055,1.05046,0.55578,0.0482
10,-5507.52,1583.39,0.00741,1.02259,0.5187,0.03556
11,-5414.13,1158.45,0.01272,1.02435,0.5249,0.02283
12,-5481.05,1432.19,0.00509,0.97091,0.49054,0.01618
13,-5713.61,1492.96,0.0377,1.04017,0.55778,0.03044
14,-5311.45,1279.1,0.02149,1.01159,0.52729,0.0517
15,-5585.56,1536.28,0.00887,0.97605,0.4969,0.00574
16,-5524.04,1403.04,0.00787,1.00721,0.51147,0.01257
17,-5572.58,1538.92,-0.00276,1.01919,0.50683,0.00645
18,-5207.42,1480.21,-0.00602,1.01594,0.50196,0.00597
19,-5349.79,1481.44,-0.00022,1.01696,0.50827,0.00214
20,-5435.45,1482.23,-0.00276,0.99386,0.49417,0.01207
21,-5377.02,1353.79,-0.00055,1.00643,0.50266,0.0016
22,-5824.45,1638.05,0.00855,1.01781,0.51746,0.00696
23,-5552.73,1437.76,-0.00295,0.98331,0.4887,0.00268
24,-5258.94,1306.71,0.02929,1.01061,0.5346,0.02201
25,-5304.04,1385.64,-0.0013,0.98212,0.48976,0.01021
26,-5267.81,1276.77,0.03478,0.97937,0.52447,0.03667
27,-5616.33,1482.24,0.0306,0.99122,0.52621,0.02867
28,-5634.24,1584.72,0.00506,0.95302,0.48158,0.01074
29,-5552.94,1498.45,0.01783,0.96836,0.50201,0.01149
30,-5412.27,1446.26,0.00219,0.98071,0.49254,0.00336
31,-5327.75,1268.26,-0.00576,1.05351,0.521,0.00552
32,-5682.59,1623.39,0.00806,0.93888,0.4775,0.00628
33,-5570.43,1386.95,0.00314,1.0091,0.50769,0.01354
34,-5638.91,1735.13,-0.00725,0.99143,0.48846,0.01742
35,-5379.08,1645.89,-0.00417,0.99509,0.49337,0.00284
36,-5614.84,1508.06,-0.00417,0.99827,0.49496,0.00112
37,-5515.16,1505.22,-0.0038,0.94868,0.47053,0.00256
38,-5431.15,1501.2,0.00632,0.9903,0.50147,0.0048
39,-5313.75,1599.83,0.00199,0.98019,0.49208,0.00625
40,-5432.1,1548.64,0.00339,0.95068,0.47874,0.01531
41,-5582.0,1498.0,-0.00655,0.99337,0.49013,0.0111
42,-5669.17,1399.23,-0.00249,1.00788,0.50145,0.00126
43,-5382.26,1330.0,-0.00274,0.98383,0.48918,0.00111
44,-5342.53,1252.47,-0.00173,0.95203,0.47428,0.00099
45,-5500.86,1479.32,0.00774,1.04722,0.53135,0.00936
46,-5515.57,1669.4,-0.00558,0.94106,0.46495,0.00746
47,-5509.06,1593.54,-0.00014,0.97481,0.48726,0.00587
48,-5589.29,1415.47,0.0131,0.98621,0.50621,0.03969
49,-5569.4,1407.3,-0.00023,0.97703,0.48829,0.0092
50,-5446.07,1201.11,-0.00871,1.02306,0.50282,0.00268
51,-5611.96,1483.44,0.00181,0.95829,0.48096,0.00425
52,-5412.75,1469.92,0.00412,0.93986,0.47404,0.00677
53,-5447.4,1275.37,-0.0033,0.93698,0.4652,0.00262
54,-5488.46,1271.44,-0.00018,1.00419,0.50192,0.0108
55,-5563.18,1563.73,0.0016,0.98903,0.49612,0.00409
56,-5649.33,1538.76,-0.00741,0.94885,0.46702,0.00265
57,-5487.78,1538.25,-0.0056,0.95351,0.47116,0.01816
58,-5616.83,1653.2,0.01325,0.98769,0.5071,0.01487
59,-5522.87,1589.99,0.02666,0.91321,0.48326,0.02336
60,-5325.87,1561.83,0.00472,1.02836,0.5189,0.01115
61,-5386.09,1415.91,0.00408,0.99322,0.50069,0.01175
62,-5433.93,1551.91,-0.00364,0.97195,0.48234,0.00887
63,-5486.86,1480.1,-0.00064,0.98439,0.49156,0.0019
64,-5438.06,1337.07,0.01947,1.00924,0.52409,0.03512
65,-5310.41,1352.97,0.03531,0.94955,0.51008,0.06098
66,-5455.21,1595.76,0.00128,0.96412,0.48334,0.03141
67,-5383.0,1535.4,-0.00571,0.95262,0.4706,0.00314
68,-5471.56,1695.89,-0.00226,0.97662,0.48605,0.00312
69,-5449.94,1541.48,-0.014,0.96575,0.46888,0.01102
70,-5335.95,1492.45,-0.00223,0.95497,0.47525,0.00455
71,-5377.96,1571.41,-0.01304,0.97264,0.47328,0.00529
72,-5356.19,1510.97,-0.00399,0.95646,0.47424,0.00255
73,-5445.19,1399.74,-0.00421,0.95627,0.47393,0.00433
74,-5177.03,1566.19,-0.00013,0.94593,0.47283,0.00478
75,-5495.43,1463.35,-0.00424,0.98629,0.48891,0.00567
76,-5423.01,1526.16,-0.00556,0.93801,0.46344,0.00217
77,-5387.66,1316.53,-0.01862,0.98596,0.47436,0.00645
78,-5899.77,1563.41,-0.00262,0.95152,0.47314,0.00661
79,-5621.24,1318.1,-0.00268,0.91745,0.45604,0.00577
80,-5635.3,1454.08,0.01647,1.03171,0.53232,0.01678
81,-5302.75,1426.31,0.00493,0.96162,0.48574,0.00929
82,-5290.22,1200.66,0.00212,0.94011,0.47217,0.00339
83,-5409.46,1413.76,0.00089,0.96192,0.48185,0.0141
84,-5326.78,1535.24,0.00263,0.93546,0.47036,0.01162
85,-5382.83,1392.34,-0.00822,0.93799,0.46077,0.01456
