,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
1,0,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
2,0,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
3,1,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
4,1,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
5,1,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
6,2,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
7,2,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
8,2,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
9,3,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
10,3,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
11,3,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
12,4,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
13,4,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
14,4,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
15,5,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
16,5,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
17,5,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
18,6,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
19,6,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
20,6,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
21,7,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
22,7,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
23,7,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
24,8,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
25,8,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
26,8,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
27,9,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
28,9,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
29,9,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
30,10,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
31,10,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
32,10,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
33,11,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
34,11,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
35,11,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
36,12,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
37,12,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
38,12,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
39,13,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
40,13,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
41,13,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
42,14,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
43,14,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
44,14,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
45,15,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
46,15,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
47,15,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
48,16,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
49,16,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
50,16,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
51,17,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
52,17,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
53,17,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
54,18,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
55,18,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
56,18,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
57,19,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
58,19,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
59,19,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
60,20,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
61,20,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
62,20,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
63,21,0,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 885.0, 180)"
64,21,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
65,21,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
66,22,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 885.0, 180)"
67,22,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
68,22,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
69,23,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
70,23,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
71,23,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
72,24,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
73,24,1,XM5,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
74,24,2,XDP_XM1_XM2,-3108.035991145352,2918.0,36113.67793059633,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
75,25,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
76,25,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
77,25,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
78,26,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
79,26,1,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1497.0, 885.0, 180)"
80,26,2,XM5,-3166.8237199275627,2985.0,33059.8651282968,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
81,27,0,XDP_XM1_XM2,0.0,0.0,0.0,"(1497, 1164, 180)","(1482.5, 885.0, 180)"
82,27,1,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1843.0, 1164.0, 180)"
83,27,2,XM5,-3169.1411976635272,2985.0,33907.98067695824,"(1497, 1164, 180)","(1497.0, 1164.0, 180)"
84,28,0,XDL_XM3_XM4,0.0,0.0,0.0,"(1497, 1164, 180)","(1857.5, 1164.0, 180)"
