,step,T,E,acceptance,improvement
0,0,0.0,3042.6664002323714,,
1,201,61.0,2408.006245856578,0.02,0.01
2,301,92.0,2528.9792252847546,0.06,0.03
3,401,140.0,2340.7936443382837,0.07,0.04
4,501,210.0,2869.891420043459,0.25,0.11
5,601,320.0,2493.9347673685734,0.26,0.14
6,701,480.0,2778.937598847236,0.51,0.3
7,801,720.0,3016.521146797224,0.66,0.35
8,901,1100.0,3619.576078697531,0.73,0.37
9,1001,1600.0,4396.367764617409,0.8,0.42
10,1101,2400.0,2845.7912118855156,0.87,0.42
11,1201,3600.0,4055.2333632916248,0.88,0.44
12,1301,5400.0,4237.91893219136,0.95,0.42
13,1401,8100.0,3812.894341810119,0.96,0.48
14,1501,12000.0,3154.0880607474237,1.0,0.5
15,1601,8000.0,4830.856980612101,0.98,0.44
16,1701,5300.0,4955.818332237737,0.97,0.46
17,1801,3500.0,4836.527869578285,0.88,0.44
18,1901,2300.0,2777.347269431898,0.8,0.42
19,2001,1500.0,2654.0154652758165,0.73,0.39
20,2101,1000.0,3129.9613257125884,0.71,0.34
21,2201,670.0,2800.195294601887,0.62,0.31
22,2301,450.0,3229.9951568283313,0.51,0.24
23,2401,300.0,2605.5255452113183,0.32,0.18
24,2501,200.0,3091.542635171612,0.28,0.15
25,2601,130.0,2900.663592711259,0.19,0.07
26,2701,87.0,2506.0121034392573,0.06,0.03
27,2801,58.0,2506.0121034392573,0.0,0.0
28,0,12000.0,2506.0121034392573,,
29,1,11376.894047040554,3586.7783836722647,1.0,0.0
30,2,10786.143179798899,3023.1895591251787,1.0,1.0
31,3,10226.06734439843,4260.680713662522,1.0,0.0
32,4,9695.073724593525,3023.1895591251787,1.0,1.0
33,5,9191.65221191228,3171.805656677685,1.0,0.0
34,6,8714.37111101433,4147.347676840064,1.0,0.0
35,7,8261.873068050094,2493.9347673685734,1.0,1.0
36,8,7832.871210441981,2416.796351697525,1.0,1.0
37,9,7426.145487109393,4189.493522476055,1.0,0.0
38,10,7040.539198729327,3866.0415274829616,1.0,1.0
39,11,6674.955708164946,3874.4804937427634,1.0,0.0
40,12,6328.355321706761,3410.2036813558097,1.0,1.0
41,13,5999.752332256922,3346.0368396088847,1.0,1.0
42,14,5688.212216047621,4057.221384832558,1.0,0.0
43,15,5392.848974921295,4185.1173405828085,1.0,0.0
44,16,5112.822616614236,2831.4186332771023,1.0,1.0
45,17,4847.336765877734,3717.554281869083,1.0,0.0
46,18,4595.636399642934,4832.870199817666,1.0,0.0
47,19,4357.005699788382,3627.3644921350597,1.0,1.0
48,20,4130.766017403683,3004.9092041384647,1.0,1.0
49,21,3916.2739427597817,3551.8562090280743,1.0,0.0
50,22,3712.919475496984,3312.404203225923,1.0,1.0
51,23,3520.1242898268806,3943.8153893280696,1.0,0.0
52,24,3337.3400898145237,3049.899711517817,1.0,1.0
53,25,3164.0470500633874,3049.899711517817,0.0,0.0
54,26,2999.752337368531,3049.899711517817,0.0,0.0
55,27,2843.9887091336695,3623.706908673256,1.0,0.0
56,28,2696.313184566116,3079.238291273147,1.0,1.0
57,29,2556.3057848706003,2784.935613510947,1.0,1.0
58,30,2423.5683388591383,4226.722182447865,1.0,0.0
59,31,2297.7233505802083,3304.968793099191,1.0,1.0
60,32,2178.412925746837,2582.305106462756,1.0,1.0
61,33,2065.297753910448,3312.560425222671,1.0,0.0
62,34,1958.0561434858341,4509.0250785995395,1.0,0.0
63,35,1856.3831068829309,3255.504401934099,1.0,1.0
64,36,1759.9894931435888,3580.9428830927754,1.0,0.0
65,37,1668.601165616601,3762.9610954795307,1.0,0.0
66,38,1581.9582223323703,3255.891685926499,1.0,1.0
67,39,1499.8142568599997,4221.790264216243,1.0,0.0
68,40,1421.935657544757,3598.4655808065213,1.0,1.0
69,41,1348.10094313297,3170.5045409662334,1.0,1.0
70,42,1278.1001328949371,3709.2911184222044,1.0,0.0
71,43,1211.7341494545121,4034.7222115063023,1.0,0.0
72,44,1148.8142526270663,4034.7222115063023,0.0,0.0
73,45,1089.161502655684,3769.0285404202227,1.0,1.0
74,46,1032.6062513190998,2957.585677329077,1.0,1.0
75,47,978.9876594640941,3029.8349929240267,1.0,0.0
76,48,928.153239590268,3029.8349929240267,0.0,0.0
77,49,879.958422186327,2866.8838298498,1.0,1.0
78,50,834.2661445845686,3069.46750909708,1.0,0.0
79,51,790.946461164304,2583.5414510602227,1.0,1.0
80,52,749.8761737956637,3136.7543992918777,1.0,0.0
81,53,710.9384814727863,3181.152622150067,1.0,0.0
82,54,674.0226481399832,3236.5293118661148,1.0,0.0
83,55,639.0236877661898,3577.579717851302,1.0,0.0
84,56,605.8420657720892,3172.3224407471575,1.0,1.0
85,57,574.3834159607695,2923.4992873248557,1.0,1.0
86,58,544.558272146908,4836.527869578285,1.0,0.0
87,59,516.2818137212372,4577.564731049391,1.0,1.0
88,60,489.4736244267037,4002.9429676908026,1.0,1.0
89,61,464.05746366029405,4612.146937487073,1.0,0.0
90,62,439.96104965012825,3117.47626231718,1.0,1.0
91,63,417.11585389118795,3256.186862197396,1.0,0.0
92,64,395.4569062550745,2967.4937623519772,1.0,1.0
93,65,374.922610219536,2967.4937623519772,0.0,0.0
94,66,355.4545676922953,2945.7242778751665,1.0,1.0
95,67,336.99741293098737,2945.7242778751665,0.0,0.0
96,68,319.4986550868848,3535.099720099689,1.0,0.0
97,69,302.90852892462027,3325.842462463787,1.0,1.0
98,70,287.1798532933602,3325.842462463787,0.0,0.0
99,71,272.2678969469341,3325.842462463787,0.0,0.0
100,72,258.1302513313189,3325.842462463787,0.0,0.0
101,73,244.726709977697,3325.842462463787,0.0,0.0
102,74,232.01915415809,3325.842462463787,0.0,0.0
103,75,219.9714444783799,3325.842462463787,0.0,0.0
104,76,208.54931810041614,3325.842462463787,0.0,0.0
105,77,197.72029130091585,3325.842462463787,0.0,0.0
106,78,187.45356709004275,3325.842462463787,0.0,0.0
107,79,177.71994762693546,3325.842462463787,0.0,0.0
108,80,168.49175118310336,2997.4546746198575,1.0,1.0
109,81,159.7427334175405,2770.968242386419,1.0,1.0
110,82,151.44801273966698,2770.968242386419,0.0,0.0
111,83,143.58399954783656,2770.968242386419,0.0,0.0
112,84,136.12832914217134,2770.968242386419,0.0,0.0
113,85,129.05979812092883,2770.968242386419,0.0,0.0
114,86,122.35830407952085,2770.968242386419,0.0,0.0
115,87,116.00478844068995,2770.968242386419,0.0,0.0
116,88,109.98118225325707,2770.968242386419,0.0,0.0
117,89,104.27035480529676,2770.968242386419,0.0,0.0
118,90,98.85606490559898,2770.968242386419,0.0,0.0
119,91,93.72291469486369,2770.968242386419,0.0,0.0
120,92,88.85630585527366,2770.968242386419,0.0,0.0
121,93,84.24239809390644,2770.968242386419,0.0,0.0
122,94,79.86806978191544,2770.968242386419,0.0,0.0
123,95,75.72088063754107,2770.968242386419,0.0,0.0
124,96,71.78903634682577,2770.968242386419,0.0,0.0
125,97,68.06135502141504,2770.968242386419,0.0,0.0
126,98,64.52723539805417,2770.968242386419,0.0,0.0
127,99,61.176626689342285,2774.0184488227496,1.0,0.0
128,100,58.00000000000002,2774.0184488227496,0.0,0.0
