,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-5807.86,470.83,0.32031,1.71858,1.1796,1.0
1,-12714.12,2116.05,0.14553,1.78539,1.03823,0.27524
2,-12636.76,2408.42,0.10621,1.77469,0.99356,0.13179
3,-12881.76,2321.47,0.07658,1.64898,0.90108,0.08384
4,-12541.15,2384.64,0.0264,1.7143,0.88355,0.06085
5,-12485.82,2103.37,0.06109,1.57224,0.84721,0.05223
6,-12402.2,2285.25,0.03964,1.64207,0.86067,0.04155
7,-12390.99,2403.55,0.03266,1.5951,0.83021,0.03596
8,-12215.25,2361.5,0.01152,1.65196,0.8375,0.04116
9,-12409.73,2231.56,0.04858,1.52594,0.81155,0.0377
10,-12761.55,2250.84,0.0086,1.51444,0.76582,0.02082
11,-12690.73,2118.32,0.01184,1.49695,0.76031,0.01141
12,-12285.28,2300.74,0.00331,1.46977,0.73819,0.00597
13,-12686.02,2421.31,-0.00335,1.4533,0.7233,0.00786
14,-12455.65,2459.13,0.0078,1.31914,0.66737,0.008
15,-12757.56,2195.15,0.00039,1.38283,0.69181,0.00782
16,-12080.29,2596.28,-0.00172,1.32967,0.66312,0.00918
17,-12077.39,2265.01,-0.00847,1.29765,0.64036,0.00786
18,-12651.49,2455.9,0.00089,1.22528,0.61353,0.0016
19,-12531.78,2320.08,0.00093,1.27629,0.63907,0.00402
20,-12496.05,2365.04,-0.00119,1.31249,0.65506,0.00508
21,-12762.06,2386.69,0.00836,1.31647,0.66659,0.00881
22,-12536.6,2364.54,-0.00197,1.22757,0.61181,0.00312
23,-12421.68,2187.31,0.001,1.22965,0.61583,0.00595
24,-12832.28,2267.55,-0.00483,1.26554,0.62795,0.00611
25,-12679.11,2382.44,-0.0024,1.24927,0.62224,0.00623
26,-12815.15,2245.15,0.00449,1.24339,0.62619,0.00738
27,-12920.21,2333.08,0.00676,1.21677,0.61514,0.00594
28,-12888.02,2277.02,0.00124,1.24693,0.62471,0.00737
29,-12344.57,2253.94,-0.00204,1.20754,0.60173,0.00647
30,-12443.38,2335.76,-0.0065,1.15205,0.56953,0.00214
31,-12523.82,1801.18,-0.00699,1.20187,0.59394,0.0053
32,-12408.18,2392.59,0.01353,1.18886,0.60796,0.01313
33,-12965.34,2250.31,-0.00253,1.2087,0.60182,0.00338
34,-12520.47,2340.63,0.00267,1.1118,0.55857,0.00465
35,-12395.13,2403.98,-0.00563,1.15167,0.5702,0.00345
36,-12294.44,2555.39,-0.00565,1.09613,0.54242,0.0055
37,-12415.56,2284.6,-0.00051,1.12535,0.56217,0.0017
38,-12585.07,2402.75,0.00379,1.12725,0.56741,0.00811
39,-12527.24,2688.38,0.01125,1.13408,0.57829,0.02051
40,-12442.53,2310.7,-0.00049,1.14774,0.57337,0.00531
41,-12663.58,2440.32,0.00715,1.10255,0.55842,0.01466
42,-12505.14,2125.45,-0.00414,1.12548,0.5586,0.00426
43,-12459.14,2299.48,-0.00385,1.15208,0.5722,0.01353
44,-12703.49,2347.53,0.02754,1.12425,0.58966,0.0157
45,-12294.73,2085.79,0.00166,1.08597,0.54465,0.00444
46,-12705.62,2120.13,-0.0029,1.10582,0.55001,0.00124
47,-12861.94,2236.27,0.01249,1.08698,0.55598,0.0114
48,-12656.26,2343.57,0.00924,1.14095,0.57972,0.0084
49,-12866.17,2435.03,0.01588,1.07249,0.55213,0.01138
50,-12412.12,2172.64,-0.00919,1.08024,0.53093,0.01414
51,-12758.9,2101.12,0.00152,1.04699,0.52502,0.00521
52,-12202.69,2217.11,-0.00597,1.10002,0.54404,0.00654
53,-12844.91,2260.72,-9e-05,1.05374,0.52678,0.00859
54,-12534.84,2047.23,-0.00213,1.05681,0.52627,0.00653
55,-12415.54,2395.55,0.00453,1.08442,0.54674,0.00547
56,-12407.29,2520.74,-0.00248,1.11206,0.55355,0.00538
57,-12468.4,2500.94,0.0014,1.08891,0.54585,0.00857
58,-12847.19,2335.46,-0.0084,1.06805,0.52562,0.00746
59,-12475.71,2339.46,-0.00364,1.05658,0.52465,0.00361
60,-12438.95,2340.75,-0.00758,1.06613,0.52549,0.00389
61,-12542.59,2468.0,-0.00825,1.02711,0.5053,0.00347
62,-13016.95,2323.64,-0.00113,1.03871,0.51822,0.00201
63,-12475.18,2255.46,-0.00263,1.05818,0.52646,0.00175
64,-12733.7,2129.91,-0.00204,1.03718,0.51655,0.0016
65,-12803.65,2415.35,0.00265,1.04574,0.52552,0.00265
66,-12996.24,2234.17,-0.00309,1.04768,0.52075,0.00176
