,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-5795.2,527.71,0.25705,1.88098,1.19754,1.0
1,-12494.17,2246.93,0.10562,1.7961,1.00367,0.15624
2,-12195.05,2202.08,0.04486,1.89117,0.99045,0.10547
3,-12484.49,2198.85,0.10372,1.85462,1.03104,0.10447
4,-11960.88,1914.93,0.07482,1.73734,0.94349,0.09734
5,-12483.05,2611.94,0.06004,1.57938,0.84973,0.09568
6,-12642.62,2260.6,0.07931,1.68449,0.92156,0.08402
7,-12467.78,2441.03,0.07839,1.55646,0.85662,0.08476
8,-12601.16,2497.63,0.04217,1.50358,0.79396,0.06214
9,-12358.34,2234.41,0.03535,1.57277,0.82174,0.05917
10,-11913.38,2093.76,0.0378,1.41862,0.74711,0.04935
11,-12669.13,2236.77,0.01762,1.47434,0.75479,0.05098
12,-12914.74,2254.53,0.03141,1.37137,0.7171,0.05005
13,-12585.78,2171.2,0.01586,1.35492,0.69332,0.02911
14,-13150.26,2256.07,0.02145,1.31454,0.67872,0.03152
15,-12330.83,2155.16,0.04644,1.27935,0.68612,0.03887
16,-12337.33,2319.68,0.03251,1.31834,0.69168,0.04382
17,-12840.62,2178.19,0.01392,1.30027,0.66405,0.03276
18,-12770.18,2349.75,0.04573,1.26635,0.67891,0.04903
19,-12876.38,2254.47,0.03968,1.29327,0.68632,0.06047
20,-12469.94,2341.13,0.05994,1.23404,0.67696,0.06205
21,-12120.83,2439.18,0.03863,1.22445,0.65085,0.04691
22,-12489.44,2148.78,0.03777,1.23084,0.65319,0.03735
23,-12687.13,2376.19,0.02,1.16166,0.60083,0.02236
24,-12621.86,2385.13,0.00709,1.12787,0.57102,0.0147
25,-12424.71,2148.92,0.00597,1.11751,0.56473,0.01431
26,-12446.57,2518.5,0.01613,1.07249,0.55238,0.01365
27,-13117.01,2320.3,0.0189,1.16066,0.59923,0.02002
28,-12571.63,2288.99,0.02117,1.08925,0.5658,0.02763
29,-12654.85,2322.69,-0.00077,1.1636,0.58103,0.00963
30,-12382.91,2283.49,0.00062,1.12781,0.56452,0.00576
31,-12318.08,2455.06,-0.00388,1.10345,0.54785,0.00999
32,-12095.77,2432.37,-0.00388,1.11258,0.55241,0.01027
33,-12527.25,2225.96,-0.00088,1.09621,0.54723,0.00845
34,-12533.18,2615.18,0.002,1.11644,0.56022,0.00985
35,-12685.59,2185.27,-0.00764,1.06197,0.52334,0.00965
36,-12313.89,2333.34,0.00817,1.12713,0.57173,0.01869
37,-12514.33,2689.68,0.02677,1.04835,0.55094,0.04421
38,-12990.95,2367.17,0.05117,1.03303,0.56769,0.05527
39,-12808.75,2248.03,0.03937,1.08468,0.58171,0.0461
40,-12595.75,2342.0,0.0109,1.0311,0.52645,0.02736
41,-12652.74,2546.06,0.03229,1.04292,0.55374,0.03551
42,-12376.86,2268.3,0.02937,1.008,0.53336,0.03345
43,-12328.76,2428.39,0.04189,1.07971,0.58175,0.03352
44,-12861.73,2422.28,0.02137,1.09904,0.57089,0.03684
45,-12838.66,2446.84,0.01963,1.03167,0.53546,0.02457
46,-12776.67,2425.12,0.00849,1.08219,0.54959,0.02148
47,-12826.17,2110.08,-0.00367,1.01678,0.50472,0.01533
48,-12744.45,2185.83,0.01174,1.06377,0.54362,0.01934
49,-12650.68,2211.22,0.0249,1.04618,0.54799,0.02738
50,-12704.02,2374.38,0.01154,1.04231,0.5327,0.01811
51,-12178.55,2504.53,0.01384,1.04797,0.53783,0.01903
52,-12789.77,2241.05,0.01135,1.0112,0.51695,0.01758
53,-11899.5,2365.03,0.00068,1.03354,0.51745,0.01018
54,-12022.7,2372.01,-0.00321,1.01288,0.50323,0.01105
55,-12289.13,2498.05,0.00623,1.02819,0.52032,0.01208
56,-12461.9,2601.66,-0.00778,1.01939,0.50192,0.00858
57,-12750.56,2504.7,-0.00423,1.01493,0.50324,0.00292
58,-12443.55,2345.29,-0.0023,1.00894,0.50217,0.01018
59,-12607.78,2078.05,-0.00582,1.02421,0.50629,0.00205
60,-12456.42,2572.72,-0.00082,1.02799,0.51318,0.00437
61,-12620.68,2291.55,0.00174,0.99925,0.50136,0.00356
62,-12741.99,2329.8,0.00227,1.02543,0.51498,0.0055
63,-12193.29,2123.11,-0.00085,0.99,0.49415,0.00378
64,-12338.45,2278.61,0.00105,1.02693,0.51452,0.00651
65,-12368.44,2095.27,0.00551,0.98449,0.49776,0.00404
66,-12509.24,2363.5,-0.00039,0.98341,0.49132,0.00427
67,-12299.78,2436.28,-0.00451,1.0204,0.50569,0.00855
68,-12775.06,2084.06,0.00197,1.00223,0.50309,0.01349
69,-12189.71,2128.79,0.00261,0.99534,0.50028,0.00588
70,-12306.27,2005.14,0.00396,1.0255,0.51671,0.00808
71,-12335.68,2279.53,-0.00129,0.99503,0.49622,0.00653
72,-12032.14,2146.69,-0.00572,1.00556,0.49706,0.0058
73,-12649.89,2505.56,0.0011,1.00638,0.50429,0.00648
74,-12581.29,2289.93,-0.00615,1.00456,0.49613,0.00475
75,-12246.02,2287.26,0.00531,0.98953,0.50008,0.0068
76,-12586.07,2359.75,-1e-05,1.01348,0.50673,0.00903
77,-12748.59,2506.49,0.00359,0.99623,0.50171,0.01854
78,-12937.55,2492.53,0.0292,1.01667,0.53754,0.03459
79,-12258.34,2277.27,0.01441,0.98992,0.50937,0.02345
80,-12413.05,2303.38,0.01896,1.02087,0.52939,0.021
81,-12594.51,2015.16,0.00089,0.97923,0.4905,0.02029
82,-13047.73,2442.16,0.02106,0.98112,0.51163,0.01357
83,-12296.28,2222.75,0.00123,1.01142,0.50694,0.01143
84,-12058.74,2279.91,0.00038,0.98554,0.49315,0.01412
85,-12558.11,2185.98,0.00048,0.98901,0.49498,0.01136
86,-12410.97,2182.96,0.0032,1.01127,0.50884,0.00445
87,-12304.85,2482.79,-0.00042,0.98623,0.4927,0.00155
88,-12662.98,2344.23,-0.00231,0.97438,0.48488,0.00288
89,-12379.94,2179.84,-0.00268,0.99897,0.4968,0.0061
90,-12441.83,2543.46,0.00078,0.99952,0.50054,0.00532
91,-12292.67,2397.7,-0.00648,0.99149,0.48926,0.00383
92,-12520.68,2674.44,-0.00405,1.01459,0.50325,0.00382
93,-12523.57,2245.87,0.00197,0.98536,0.49465,0.00135
94,-12294.43,2144.39,-0.00542,0.99525,0.4922,0.00275
95,-12458.39,2361.33,-0.00539,0.99482,0.49202,0.00805
96,-12536.17,2584.52,0.00241,0.99016,0.49749,0.00307
97,-12295.87,2194.95,-0.00736,0.99396,0.48962,0.00597
98,-12424.32,1997.19,-0.00289,1.00482,0.49952,0.0026
99,-12472.13,2091.25,-0.00068,0.99981,0.49923,0.00299
100,-12182.54,2479.45,-0.00246,0.98999,0.49254,0.00151
101,-12801.36,2163.27,-0.00603,0.9868,0.48737,0.00934
102,-12711.21,2251.5,-0.00879,0.99189,0.48716,0.00479
103,-12523.56,2289.27,-0.00829,0.98328,0.48335,0.00546
104,-12666.25,2437.81,-0.0029,0.99457,0.49439,0.00359
105,-12244.64,2030.15,-0.00202,0.98311,0.48953,0.00271
106,-12569.68,2306.23,-0.00199,0.99544,0.49574,0.001
107,-12923.16,2302.01,-0.00387,0.97821,0.48524,0.00122
108,-12448.4,2446.98,-0.00896,1.00629,0.49419,0.00533
109,-12480.59,2391.85,0.0094,0.98755,0.50318,0.00703
110,-12321.64,2366.75,-0.00188,0.98973,0.49299,0.00899
111,-12623.8,2398.06,0.00188,1.0048,0.50428,0.00336
112,-12531.81,2225.03,-0.00209,0.97284,0.48433,0.00502
113,-12355.13,2143.06,0.0026,0.99972,0.50246,0.00564
114,-12585.18,2399.39,0.00017,1.01143,0.50588,0.00767
115,-12292.85,2174.56,-0.00564,0.98159,0.48515,0.00693
116,-12411.84,2309.87,0.00912,0.99612,0.50718,0.01195
117,-12982.48,2267.14,0.00234,0.99439,0.49953,0.00401
118,-12342.57,2432.23,-0.00645,0.99475,0.49093,0.00443
119,-12550.15,2070.68,-0.00589,1.01064,0.49943,0.00423
120,-12695.21,2374.54,-0.00318,0.98132,0.48748,0.00075
121,-12477.97,2071.05,-0.00605,0.98629,0.4871,0.00168
122,-12732.81,2491.07,-0.00162,0.99954,0.49815,0.00248
123,-12538.29,2364.14,-0.00486,0.97299,0.48163,0.00548
124,-12618.91,2329.97,-0.00231,1.0053,0.50034,0.00842
125,-12719.95,2212.55,0.0012,0.97065,0.48653,0.01283
126,-11895.23,2330.05,-0.02052,0.98517,0.47206,0.01585
127,-12471.69,2494.7,-0.00048,0.99841,0.49873,0.00435
128,-12468.94,2376.73,0.00086,1.00299,0.50236,0.01119
129,-12655.01,2218.08,0.00021,0.99104,0.49573,0.00296
130,-12699.1,2458.99,-0.00345,0.9993,0.4962,0.0026
131,-12431.93,2581.4,-0.00356,0.98051,0.48669,0.00288
132,-12711.17,2363.6,-0.00387,0.98865,0.49045,0.00325
133,-12536.04,2305.47,-0.00182,1.01436,0.50536,0.00358
134,-12510.15,2225.15,0.003,0.98651,0.49625,0.00407
135,-12576.05,2294.66,-0.00437,0.997,0.49412,0.00359
136,-12924.68,2334.15,-0.00313,0.96511,0.47942,0.00269
137,-12453.22,2348.82,0.0031,0.9743,0.49026,0.00248
138,-12685.78,2407.31,0.00406,0.99728,0.5027,0.00632
139,-12717.02,2388.13,-0.00137,0.98398,0.49062,0.00161
140,-12420.48,2162.89,-0.00352,0.99443,0.49369,0.00523
141,-12335.33,2323.52,0.00251,0.97602,0.49052,0.00648
142,-12350.52,2549.13,0.0188,0.98785,0.51273,0.01537
143,-12474.98,2125.8,0.01455,0.97519,0.50215,0.02157
144,-12667.55,2406.71,0.0156,0.97909,0.50514,0.0169
145,-12340.06,2144.83,0.01379,0.98637,0.50698,0.01335
146,-12549.07,2246.37,-0.00125,0.99098,0.49424,0.0103
147,-12731.48,2150.73,0.00929,0.98155,0.50007,0.00896
148,-12503.3,2714.27,0.01536,0.9716,0.50116,0.0131
149,-12499.05,1983.52,0.0176,0.97672,0.50595,0.01374
150,-12421.97,2336.51,0.02106,0.99765,0.51988,0.01608
151,-12471.62,2206.99,0.00772,0.99713,0.50628,0.01891
152,-12569.18,2428.34,0.00997,0.96562,0.49278,0.00963
153,-12400.7,2144.99,0.00409,0.97635,0.49226,0.00726
154,-12228.74,2378.39,0.01245,0.96688,0.49589,0.01142
155,-12256.68,2338.46,0.00727,0.98577,0.50016,0.00822
156,-12584.8,2413.63,0.0097,0.97573,0.49756,0.00438
157,-12400.8,2378.59,-0.00294,0.97379,0.48396,0.00415
158,-12496.67,2157.64,-0.00106,0.9884,0.49313,0.00163
159,-12522.74,2373.33,-0.00287,0.98952,0.49189,0.00325
160,-12437.5,2017.99,0.00178,0.98426,0.4939,0.0061
161,-12404.95,2166.48,-0.00101,0.95867,0.47833,0.00581
162,-12353.17,2133.74,0.00281,0.97907,0.49235,0.00739
163,-12426.23,2276.39,0.00257,0.99155,0.49834,0.00508
