,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-25976.27,2115.76,0.33937,2.48736,1.58305,1.0
1,-24768.25,1560.73,0.36052,1.41799,1.06951,1.0
2,-26297.56,2863.46,0.27467,1.46526,1.0073,0.99667
3,-25752.93,2473.14,0.33596,1.41765,1.04479,1.0
4,-29522.58,5273.22,0.33792,1.17395,0.9249,1.0
5,-27906.15,4096.08,0.32354,1.97749,1.31228,0.99797
6,-31995.64,5922.6,0.32655,1.50181,1.07745,0.99996
7,-29470.0,5643.68,0.3013,1.43951,1.02106,0.99893
8,-32042.82,5734.29,0.31626,1.41573,1.02413,0.99434
9,-34197.57,6325.72,0.31148,1.54263,1.0828,1.64865
10,-31560.22,5041.52,0.44092,1.52265,1.20225,1.37403
11,-32094.3,4910.5,0.2955,1.42545,1.00823,0.59093
12,-31529.21,5479.67,0.26762,1.24028,0.88776,0.65889
13,-32167.72,5886.62,1.28179,1.15623,1.85991,2.09873
14,-32557.41,5176.94,0.19874,1.21643,0.80696,0.38946
15,-31723.57,4766.79,0.33287,1.18278,0.92426,1.13358
16,-31882.73,5351.97,0.33527,1.1263,0.89842,1.1581
17,-31420.24,5000.84,0.19681,1.08445,0.73904,0.34181
18,-31981.88,5539.54,0.24801,0.99406,0.74504,0.5287
19,-32702.86,5084.48,0.23369,1.01252,0.73995,0.47621
20,-32491.56,6376.25,0.23936,1.12644,0.80258,0.52299
21,-32720.99,5721.72,0.26242,1.06024,0.79254,0.96274
22,-31555.07,5008.69,0.45283,1.02977,0.96772,1.5982
23,-31926.0,5375.49,0.20764,0.98769,0.70148,0.38504
24,-33205.08,5366.04,0.21314,1.06932,0.7478,0.44528
25,-32509.91,4944.39,0.191,1.00176,0.69188,0.39505
26,-32958.15,5743.98,2.07976,1.01793,2.58872,12.8651
27,-31647.08,4885.16,0.23594,1.01521,0.74355,0.36296
28,-31690.15,4747.97,0.26034,1.01912,0.7699,0.73734
29,-31517.79,5306.91,0.31491,1.01577,0.8228,0.72167
30,-31890.78,5415.3,0.22409,0.98102,0.7146,0.49604
31,-33381.13,6369.96,0.26819,1.00301,0.76969,0.56105
32,-31834.3,6060.4,0.21334,0.93582,0.68125,0.61714
33,-32976.28,5602.32,0.26358,0.96422,0.74569,0.53835
34,-31885.4,5413.0,0.13847,0.9807,0.62882,0.38081
35,-31339.39,5117.17,0.05195,1.01418,0.55903,0.13789
36,-32194.17,5627.08,0.12711,0.93446,0.59434,0.35448
37,-32303.4,5508.32,0.06352,0.97224,0.54964,0.12073
38,-32714.82,5543.01,0.10416,1.00531,0.60682,0.34745
39,-32060.29,5476.16,0.19659,0.97915,0.68616,0.38682
40,-32666.77,5754.23,0.05855,0.95331,0.5352,0.17627
41,-31506.19,5369.25,0.11971,1.01021,0.62482,0.1511
42,-32738.87,5233.17,0.09285,0.9757,0.5807,0.13299
43,-32454.96,5554.99,0.08463,0.95808,0.56367,0.19582
44,-31090.68,4832.79,0.14128,1.00191,0.64223,0.21967
45,-31624.9,5031.5,0.45652,0.96441,0.93872,1.76486
46,-32604.43,6192.21,0.07747,0.95884,0.55689,0.09585
47,-31820.58,5144.35,0.02126,0.96069,0.5016,0.05961
48,-32198.23,6126.74,0.10398,0.98899,0.59848,0.10359
49,-32500.62,6239.63,0.06019,0.96663,0.54351,0.07729
50,-31926.9,5291.54,0.0649,0.99274,0.56127,0.11935
51,-31657.68,5524.52,0.10996,0.97216,0.59604,0.13824
52,-32887.92,6160.98,0.11021,0.96047,0.59045,0.14067
53,-31445.43,5423.82,0.15005,0.97263,0.63637,0.23844
54,-31935.62,5543.59,0.19587,0.95959,0.67566,0.41613
55,-32415.93,4519.89,0.14103,0.96179,0.62192,0.29103
56,-31680.34,5622.55,0.09344,0.93063,0.55875,0.29192
57,-31738.42,5114.7,0.09277,0.98997,0.58776,0.15662
58,-31122.55,4303.1,0.18926,0.99443,0.68648,0.36514
59,-32289.41,5606.8,0.06421,0.99533,0.56187,0.23225
60,-31929.91,5882.24,0.04562,0.98635,0.5388,0.09732
61,-31974.09,5468.72,0.20382,0.97404,0.69084,0.52763
62,-31448.01,5705.08,0.1063,0.9921,0.60235,0.19352
63,-31902.89,5963.07,0.03773,0.97716,0.52631,0.17321
64,-31514.72,4833.69,0.1569,1.01802,0.66591,0.38319
65,-31098.13,4942.57,0.03293,0.97196,0.51891,0.0503
66,-31934.61,5278.33,0.08791,0.96454,0.57018,0.1413
67,-31610.62,5113.37,0.0807,0.94238,0.55189,0.09744
68,-33193.41,5528.14,0.04521,0.98468,0.53755,0.06784
69,-31664.29,5455.53,0.12767,0.97097,0.61315,0.15405
70,-31953.68,4597.07,0.07929,0.95662,0.5576,0.06391
71,-30909.33,5397.03,0.04125,0.97453,0.52852,0.06916
72,-32712.76,5933.7,0.06267,0.99002,0.55768,0.08437
73,-31969.14,5773.25,0.10815,0.97186,0.59408,0.16603
74,-31999.04,5065.4,0.57942,0.98558,1.07221,4.38658
75,-32849.29,5461.64,0.02717,0.96835,0.51135,0.04626
76,-32638.88,4914.58,0.04844,0.98592,0.5414,0.07643
77,-31717.24,5033.25,0.01896,1.00591,0.52191,0.07577
78,-31393.06,5409.8,0.13157,1.00636,0.63475,0.26579
79,-31633.89,5283.9,0.09655,1.00678,0.59994,0.1466
80,-33445.24,5867.18,0.06703,0.94358,0.53882,0.0626
81,-31722.44,5553.42,0.05421,0.98396,0.54619,0.04393
82,-33597.77,6197.5,0.12976,0.95445,0.60699,0.27306
83,-33690.6,5815.5,0.22369,0.99907,0.72323,0.56317
84,-32543.71,5266.47,0.1853,1.0086,0.6896,0.32389
85,-32436.96,5165.5,0.14225,0.98599,0.63524,0.17801
86,-31714.47,5566.5,0.16119,0.98984,0.65611,0.41225
87,-32680.52,5381.74,0.08513,0.94304,0.55665,0.48541
88,-32247.58,6378.8,0.1958,0.90052,0.64606,0.22104
89,-31882.84,5292.63,0.06216,0.97188,0.5481,0.08092
90,-32332.29,6091.94,0.13732,0.97686,0.62575,0.16177
91,-31143.44,4700.49,0.19679,0.96561,0.6796,0.18267
92,-31931.67,5395.68,0.16195,0.99298,0.65844,0.19256
93,-31836.32,5217.76,0.09165,0.97827,0.58078,0.17882
94,-32248.32,5578.36,0.05329,0.95527,0.53092,0.09937
95,-31860.5,5592.3,0.06489,0.96985,0.54981,0.1274
96,-32150.03,5796.34,0.10426,0.92522,0.56687,0.36123
97,-32313.44,5585.19,0.14782,0.99168,0.64366,0.18169
98,-33240.91,5555.05,0.06163,1.00253,0.56289,0.08264
99,-32138.21,4980.83,0.15454,0.98989,0.64949,0.16113
100,-32339.74,5076.34,0.13349,0.99908,0.63303,0.15395
101,-31331.23,5112.72,0.13321,0.96919,0.6178,0.26948
102,-33160.26,6467.12,0.09117,0.94887,0.56561,0.18604
103,-32955.41,5737.02,0.06635,0.9761,0.5544,0.101
104,-31450.48,6059.89,0.19012,0.96232,0.67128,0.26506
105,-32399.46,6259.57,0.08227,0.98255,0.57354,0.48668
106,-32109.85,6181.7,0.12965,0.96995,0.61463,0.16563
107,-32408.96,5452.0,0.11381,0.96103,0.59432,0.69537
108,-31337.85,5424.15,0.12709,0.92427,0.58922,0.22073
109,-32207.47,4889.18,0.20903,1.01699,0.71752,0.48592
110,-30963.92,4987.08,0.09674,0.9843,0.58889,0.09728
111,-32515.56,5983.9,0.0294,0.99778,0.52829,0.05653
112,-31975.4,5360.87,0.07302,0.99208,0.56905,0.08213
113,-33057.67,5836.33,0.03947,0.99574,0.53734,0.08472
114,-32720.04,6153.97,0.18774,0.98458,0.68003,0.40773
115,-31460.5,5088.19,0.09799,0.96912,0.58255,0.23729
116,-32008.71,5300.04,0.11643,0.99363,0.61325,0.24932
117,-31128.29,5103.05,0.07253,0.93512,0.54009,0.09281
118,-31869.49,5766.1,0.05902,0.96723,0.54263,0.29313
119,-31912.89,5144.61,0.07985,0.95622,0.55796,0.19289
120,-31851.74,6210.1,0.11073,0.99471,0.60809,0.11987
121,-31482.34,5672.27,0.05671,0.94756,0.53049,0.37311
122,-32716.4,6426.41,0.30481,0.93191,0.77077,1.04515
123,-32377.36,5202.3,0.28705,0.96645,0.77028,0.91516
124,-32728.74,5715.91,0.0461,0.96463,0.52841,0.07458
125,-31772.43,4901.77,0.08249,0.98638,0.57568,0.43995
126,-31754.11,5599.49,0.07828,0.92217,0.53937,0.168
127,-32337.05,5818.02,0.11249,0.98438,0.60468,0.12605
128,-32196.64,4934.16,0.02277,1.00386,0.52471,0.05479
129,-31767.34,4544.73,0.07497,0.98363,0.56678,0.1365
130,-31490.47,5047.84,0.03708,0.96409,0.51912,0.04033
131,-31387.66,5019.71,0.02269,0.95406,0.49972,0.03297
132,-31746.26,5275.84,0.00981,0.97434,0.49698,0.13049
133,-31847.31,6002.0,0.05051,0.98918,0.5451,0.12301
134,-32096.44,5133.45,0.07432,0.96086,0.55475,0.13468
135,-33355.18,5546.49,0.10771,0.95738,0.58641,0.13605
136,-32223.41,5523.8,0.12546,1.00337,0.62714,0.34422
137,-32059.33,5437.47,0.20225,0.9654,0.68495,0.58284
138,-31324.35,5277.82,0.12758,0.98443,0.61979,0.17933
139,-31806.56,5841.82,0.17843,0.96618,0.66152,0.17069
140,-31925.24,4563.17,0.05729,0.9742,0.54439,0.0686
141,-32019.58,5133.8,0.06826,0.99545,0.56599,0.08264
142,-33023.31,6410.55,0.09886,1.00115,0.59943,0.108
143,-32471.51,5839.89,0.09101,1.00696,0.59449,0.11793
144,-32296.07,5148.68,0.06584,1.01043,0.57106,0.09548
145,-32023.93,5069.23,0.0481,0.98847,0.54233,0.10689
146,-31799.79,5608.07,0.08103,0.96608,0.56407,0.10392
147,-32088.71,5110.21,0.06973,0.98411,0.56178,0.10575
148,-31606.57,5112.8,0.01526,0.97569,0.5031,0.0412
149,-30961.06,4222.82,0.20108,0.98807,0.69511,0.33475
150,-31821.76,5401.54,0.09485,0.95821,0.57396,0.21016
151,-31265.17,6094.8,0.10408,0.9557,0.58193,0.15165
152,-31796.78,5811.1,0.07355,0.97517,0.56114,0.14951
153,-32133.42,5229.13,0.07499,0.95477,0.55238,0.2846
154,-32003.42,5280.03,0.1144,0.95674,0.59277,0.38756
155,-32191.67,4981.89,0.15257,0.95885,0.632,0.16275
156,-31249.48,4652.12,1.31375,1.00492,1.81621,10.85669
157,-32627.35,4880.05,0.14158,0.95363,0.6184,0.34142
158,-31719.45,5282.9,0.25703,0.96151,0.73778,0.86917
159,-31333.75,4772.7,0.10357,0.95816,0.58265,0.16484
160,-32247.27,5317.58,0.1232,0.95433,0.60037,0.28266
161,-31185.97,5006.25,0.23688,0.96398,0.71888,0.48777
162,-31707.96,5271.72,0.58128,1.00811,1.08534,0.76691
163,-31831.64,5164.07,0.39589,0.98661,0.88919,2.55663
164,-30582.72,5460.79,0.31706,0.99648,0.8153,0.78085
165,-31901.91,5176.67,0.23935,0.97268,0.72569,0.58709
166,-31406.76,5385.99,0.21147,0.93795,0.68045,1.00371
167,-32567.83,5182.33,0.18864,0.98815,0.68271,2.61275
168,-32152.97,5237.68,0.17398,0.94319,0.64557,0.3257
169,-31618.89,6101.42,0.19551,0.90652,0.64877,0.48899
170,-32183.76,4982.8,0.20967,0.93662,0.67798,0.46138
171,-31142.81,4959.67,0.23737,0.9654,0.72007,1.03737
172,-32231.5,5578.25,0.16575,0.97069,0.6511,0.39819
173,-32128.14,5060.9,0.21666,0.93065,0.68198,0.43772
174,-31624.93,5148.73,0.15571,0.90642,0.60892,0.31527
175,-31558.88,5597.39,0.15251,1.01018,0.6576,0.2997
176,-31033.4,5743.76,0.17145,0.92103,0.63196,0.51268
177,-31664.98,5120.62,0.27456,0.91734,0.73323,0.92057
178,-31854.27,5536.52,0.23865,0.92379,0.70054,0.60352
179,-30637.57,4650.83,0.25383,0.94172,0.72469,1.97322
180,-32272.47,6025.67,0.13321,0.9416,0.60401,0.94189
181,-32782.35,5133.6,0.26325,0.97872,0.75261,0.57718
182,-32213.15,4657.5,0.14167,0.92641,0.60487,0.32143
183,-32910.25,5428.48,0.17313,0.94229,0.64427,0.28446
184,-31736.55,5493.8,0.08906,0.90807,0.5431,0.13463
185,-30569.78,4864.09,0.095,1.01649,0.60325,0.18734
186,-31832.73,5376.6,0.12695,0.9623,0.6081,0.20852
187,-31338.42,4509.34,0.28919,1.00022,0.7893,0.62417
188,-31306.96,4972.28,0.26676,0.91705,0.72529,0.75077
189,-31880.91,5328.33,0.37405,0.95941,0.85375,1.32762
190,-32803.02,5544.17,0.22718,0.92003,0.68719,0.55607
191,-31618.25,5064.34,0.16969,0.9435,0.64145,0.53039
192,-30720.78,4953.38,0.07611,1.02269,0.58745,0.23
193,-32585.27,5186.66,0.11195,0.98148,0.60269,0.15477
194,-32351.16,5192.19,0.07073,0.95803,0.54975,0.18373
195,-31121.07,5324.24,0.0957,0.9721,0.58175,0.13728
196,-31810.14,5480.67,0.07837,0.94209,0.54942,0.23663
197,-32184.57,5845.37,0.11329,0.96066,0.59362,0.16951
198,-31581.35,4939.75,0.05644,0.96362,0.53824,0.24669
199,-32340.81,5287.35,0.15108,0.93989,0.62102,0.46825
200,-32776.25,4913.07,0.14217,0.95446,0.6194,0.13533
201,-31948.67,5589.55,0.05721,0.95508,0.53475,0.127
202,-32184.41,5277.63,0.06606,0.95782,0.54498,0.14104
203,-31425.66,5254.73,0.3445,0.96833,0.82867,1.00708
204,-31570.22,5255.5,0.452,0.9541,0.92905,1.15836
205,-31216.4,5444.97,0.23365,0.97364,0.72047,0.62917
206,-31913.27,5774.59,0.19886,0.96086,0.67929,0.46611
207,-30955.19,5180.88,0.25035,0.96487,0.73278,0.6494
208,-31010.4,4642.57,0.15631,0.93021,0.62141,0.39083
209,-31199.02,5079.57,0.1192,1.00015,0.61927,0.2287
210,-31399.57,4645.7,0.07759,0.92628,0.54074,0.2875
211,-31839.09,5546.82,0.19524,0.95143,0.67095,0.33202
212,-30808.12,5002.0,0.23903,0.9605,0.71928,0.86565
213,-30103.45,4629.08,0.28827,0.9852,0.78087,1.01778
214,-31110.9,5201.26,0.23805,0.91708,0.69659,0.57359
215,-31709.73,5091.02,0.24279,0.92401,0.7048,0.39001
216,-31533.38,4935.46,0.11131,0.93406,0.57834,0.35808
217,-31708.4,5023.24,0.08436,0.98069,0.57471,0.20614
218,-32421.15,5291.16,0.09549,0.97399,0.58248,0.27362
219,-33198.05,6335.47,0.11398,0.96861,0.59828,0.22459
220,-32327.26,4954.06,0.08443,0.92977,0.54932,0.12891
221,-31230.88,5194.43,0.09108,0.99415,0.58816,0.19109
222,-31335.79,5389.55,0.12747,0.96235,0.60865,0.42144
223,-32608.44,5480.6,0.09524,0.94045,0.56546,0.2541
224,-32382.02,5461.9,0.07993,0.909,0.53443,0.36468
225,-32721.58,4978.25,0.78519,0.95152,1.26094,1.3967
226,-31815.22,5540.97,0.26893,0.91714,0.7275,0.75926
227,-31415.97,5297.72,0.71889,0.96193,1.19985,1.7278
228,-30616.57,5185.99,0.78205,0.91799,1.24104,2.70193
229,-31016.02,4899.97,0.39524,0.97895,0.88472,1.09485
230,-29799.74,5060.26,0.49427,0.90646,0.9475,1.7387
231,-30272.41,4931.85,0.37423,0.9218,0.83513,1.38465
232,-31027.69,5151.82,0.34654,0.97086,0.83197,0.73426
233,-31489.07,5172.03,0.29515,0.95535,0.77282,0.48168
234,-31232.08,4941.17,0.26004,0.94783,0.73395,0.65608
235,-31624.79,5418.21,0.25599,0.95829,0.73513,0.7464
236,-31296.22,5671.63,0.19732,0.9362,0.66542,0.55742
237,-30972.82,4811.8,0.16613,0.96658,0.64942,0.3103
238,-31736.62,5416.69,0.14106,0.93782,0.60997,0.22849
239,-31562.39,4563.21,0.3562,0.97458,0.84349,0.74756
240,-31401.35,5261.02,0.14545,0.95961,0.62526,0.41934
241,-32153.3,5365.1,0.26016,0.95722,0.73876,0.59878
242,-32136.98,5598.17,0.15461,0.96736,0.63829,0.51278
243,-31523.47,5251.92,0.17984,0.93653,0.64811,16.38997
244,-31018.68,4597.98,0.12621,0.99861,0.62551,0.23943
245,-31434.01,5225.48,0.08861,0.8939,0.53557,0.16331
246,-31026.87,4717.21,0.11131,0.95769,0.59015,0.15739
247,-31494.54,5440.02,0.09721,0.91878,0.5566,0.16489
