,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-27707.44,1601.09,0.30186,1.49791,1.05081,1.0
1,-35585.69,6372.27,0.09057,1.41038,0.79576,0.09716
2,-36190.18,7410.94,0.04816,1.32192,0.70911,0.0749
3,-34697.61,6627.38,0.02765,1.2799,0.6676,0.05354
4,-36066.31,7227.85,0.02078,1.27411,0.65783,0.04881
5,-36905.14,6841.59,0.02715,1.26507,0.65968,0.03338
6,-36922.28,7799.6,0.01611,1.25059,0.64141,0.03234
7,-36179.73,7542.56,0.01731,1.2097,0.62216,0.02314
8,-37036.2,7928.82,0.01058,1.19733,0.60924,0.01228
9,-36288.75,6570.88,0.00305,1.1861,0.5961,0.01683
10,-36763.66,7695.48,0.01075,1.04507,0.53328,0.02463
11,-36709.32,7239.44,0.0067,1.10258,0.55799,0.0121
12,-37847.76,8008.22,-0.00051,1.06428,0.53163,0.01255
13,-34901.12,6067.49,0.00934,1.03578,0.52723,0.00773
14,-37185.97,7007.71,0.00278,1.03121,0.51838,0.00709
15,-36795.97,8103.89,-0.00188,1.04864,0.52243,0.00578
16,-36519.6,7581.89,0.00525,1.05178,0.53114,0.00419
17,-36726.45,6836.64,-0.00637,1.03991,0.51358,0.0046
18,-35791.02,6575.18,-0.00368,1.0574,0.52502,0.00474
19,-36165.93,6139.87,-0.00615,1.04945,0.51857,0.00478
20,-36564.3,7218.85,-0.00536,1.03144,0.51036,0.00504
21,-35915.99,7064.57,-0.00091,1.03611,0.51714,0.00635
22,-36293.3,6960.97,-5e-05,1.0473,0.5236,0.00908
23,-37011.71,7231.2,-0.00197,1.00786,0.50196,0.00847
24,-35294.56,6524.87,-0.00612,0.99929,0.49352,0.01099
25,-35486.53,6738.29,-0.01005,1.00358,0.49174,0.00589
26,-36049.76,6672.29,0.00085,1.00727,0.50449,0.00717
27,-36746.55,6980.74,0.00395,1.03471,0.5213,0.00413
28,-36216.06,6418.33,0.00055,0.99057,0.49584,0.0039
29,-35860.25,6340.68,-0.00047,1.0026,0.50083,0.00105
30,-37900.27,8420.58,-0.00209,1.01066,0.50324,0.0007
31,-36468.06,6904.75,-0.00223,0.99043,0.49298,0.00248
32,-37297.93,7994.36,-0.00385,1.00525,0.49878,0.00843
33,-36681.53,7770.63,0.01574,1.0145,0.52299,0.0199
34,-36214.17,7625.88,0.02741,1.00633,0.53058,0.01773
35,-35862.65,7478.89,0.01611,1.00195,0.51708,0.01856
36,-36765.1,6760.81,0.02541,1.00646,0.52864,0.01545
37,-36361.2,6387.37,0.01408,1.00336,0.51576,0.01363
