,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-28439.49,1293.25,0.3332,1.19368,0.93004,0.99871
1,-33752.86,5460.46,0.07329,1.42618,0.78638,0.0934
2,-33418.99,4968.31,0.07171,1.38601,0.76472,0.0803
3,-32954.29,4862.5,0.01909,1.33649,0.68733,0.07214
4,-33390.8,5036.9,0.06452,1.27926,0.70415,0.06364
5,-32749.71,4509.54,0.04609,1.23661,0.66439,0.05437
6,-33206.72,6000.76,0.03617,1.19453,0.63344,0.05528
7,-33226.96,5101.57,0.12378,1.18249,0.71503,0.10756
8,-32567.94,4857.84,0.10476,1.11532,0.66242,0.31775
9,-32944.58,4416.68,0.20165,1.12675,0.76502,0.50956
10,-33640.11,4795.39,0.37882,1.13101,0.94433,0.73257
11,-33301.73,5094.14,0.31729,1.1235,0.87904,0.98669
12,-32718.34,4935.42,0.54437,1.08819,1.08846,1.0923
13,-33740.26,5424.25,0.73061,1.06667,1.26395,2.14189
14,-33396.62,4942.15,0.26972,1.04017,0.7898,0.59044
15,-32977.99,5122.01,0.98838,1.03325,1.50501,6.4508
16,-33648.11,5776.71,0.53984,1.09105,1.08536,1.10223
17,-33241.25,5232.27,0.05224,1.03996,0.57222,0.04471
18,-33124.4,4326.07,0.04008,1.08898,0.58457,0.0456
19,-32696.83,4937.99,4e-05,1.0636,0.53184,0.02297
20,-33212.6,5485.78,0.09325,1.03013,0.60831,0.13764
21,-33688.26,5299.28,0.13625,1.0352,0.65385,0.18351
22,-33452.61,5352.44,0.1461,1.02014,0.65617,0.30492
23,-32911.79,5233.54,0.19156,1.09155,0.73733,0.24012
24,-32760.29,5151.65,0.06941,0.98117,0.55999,0.11152
25,-33262.74,5000.86,0.02623,1.07488,0.56367,0.02362
26,-32830.6,4903.73,-0.00931,0.99689,0.48913,0.00803
27,-33885.85,5418.94,0.01326,1.03625,0.53139,0.03114
28,-33067.45,5429.63,0.03803,1.02209,0.54908,0.02832
