,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-20402.44,1298.11,0.34422,1.17712,0.93278,1.0
1,-34703.17,5496.26,0.11121,1.5461,0.88426,0.12303
2,-35680.73,5369.65,0.04045,1.6121,0.8465,0.09636
3,-36306.91,6607.04,0.07313,1.35293,0.74959,0.09261
4,-35038.03,5830.99,0.07765,1.16209,0.65869,0.10334
5,-34621.44,6378.26,0.07016,1.26726,0.70378,0.08246
6,-35320.18,6369.58,0.05381,1.08823,0.59792,0.07646
7,-36613.97,6187.17,0.05319,1.09195,0.59917,0.07032
8,-34968.62,6847.51,0.05687,1.12848,0.62111,0.07039
9,-36060.56,7112.3,0.07074,1.09482,0.61815,0.08142
10,-34374.96,6346.2,0.0515,1.05947,0.58123,0.05971
11,-35425.0,6802.24,0.05137,1.08409,0.59342,0.0648
12,-34445.16,6496.54,0.02414,1.0375,0.54289,0.05355
13,-35685.78,6807.47,0.03883,1.0922,0.58493,0.04679
14,-35255.8,6384.92,0.03489,1.06931,0.56954,0.04219
15,-34431.61,6321.26,0.04855,1.01399,0.55555,0.03538
16,-35186.58,6552.95,0.02419,1.05369,0.55104,0.045
17,-36285.21,6456.11,0.02311,1.04044,0.54333,0.02429
18,-34878.78,7034.69,0.01041,1.00419,0.5125,0.00939
19,-35633.19,6886.21,-0.00079,1.02925,0.51383,0.00475
20,-35362.4,6383.95,0.00207,1.01004,0.50709,0.00364
21,-33898.31,6292.64,-0.00019,1.02937,0.5145,0.00114
22,-36011.64,7099.43,-0.0021,1.06254,0.52917,0.00338
23,-34777.17,6808.93,-0.00168,0.99938,0.49801,0.0015
24,-33630.28,6660.21,0.00431,0.99236,0.50049,0.00237
25,-35820.69,6567.48,-0.00271,1.01603,0.5053,0.00115
26,-35378.01,7161.63,-0.0018,1.01112,0.50376,0.00103
27,-34580.11,6402.42,-0.00243,1.0016,0.49836,0.00202
28,-35764.41,6268.93,-0.00177,1.04171,0.51908,0.00133
29,-36198.0,7076.14,-0.00159,1.03315,0.51499,0.00063
30,-34168.95,5680.7,-0.00128,1.00928,0.50336,0.00058
31,-34611.95,6608.69,-0.00433,0.99386,0.4926,0.00265
32,-35378.8,6926.85,-0.00076,1.01333,0.5059,0.00204
33,-36170.23,7243.36,0.00163,0.99883,0.50105,0.00072
34,-35184.56,6603.03,-0.00208,1.00254,0.49919,0.00118
35,-35802.21,6078.65,-0.00131,0.9931,0.49524,0.00208
36,-35675.51,6204.45,-0.00096,1.02468,0.51138,0.00115
37,-34188.39,6171.39,-0.00212,1.02023,0.50799,0.00183
38,-34934.15,5474.95,-0.00735,1.0321,0.5087,0.00154
39,-36461.1,7261.2,-0.00192,0.99697,0.49656,0.00136
40,-34700.68,6546.33,0.00115,1.01357,0.50794,0.00354
41,-35647.09,6623.04,-0.0007,1.00857,0.50359,0.00236
42,-35376.01,6043.68,-0.0037,1.02637,0.50948,0.00145
43,-36204.84,6748.13,-0.00099,1.00655,0.50228,0.00269
44,-35047.23,6826.36,-0.003,0.99438,0.49419,0.00172
45,-35049.26,6559.4,0.00329,1.02221,0.51439,0.00205
46,-36244.47,6623.19,-0.01046,1.00364,0.49136,0.00342
47,-35565.04,6727.0,0.00177,1.00082,0.50218,0.00477
48,-35191.54,6254.69,-0.00767,1.00922,0.49694,0.00288
49,-35615.46,6735.17,-0.00311,1.00958,0.50167,0.00675
50,-34459.11,6170.69,0.01106,0.99134,0.50673,0.01365
51,-35001.54,5916.85,0.00096,1.01166,0.50679,0.00749
52,-35557.59,6963.88,-0.00395,0.998,0.49505,0.00271
53,-35058.63,6079.52,-0.00397,0.98816,0.49011,0.00293
54,-35575.4,6985.21,-0.00394,1.00634,0.49923,0.00883
55,-34482.57,7022.37,0.00127,1.00131,0.50192,0.0049
56,-35313.58,6926.51,-0.00134,1.01278,0.50505,0.01159
57,-34814.46,5924.25,0.00921,1.01519,0.5168,0.01065
58,-34561.63,6924.28,0.01515,1.02537,0.52783,0.01778
59,-34865.74,6584.39,0.00577,0.97301,0.49227,0.01352
60,-34688.09,5891.03,0.02754,1.01655,0.53581,0.02355
61,-34910.28,6568.36,-0.00286,0.99224,0.49326,0.01044
62,-34528.8,6842.61,0.00597,0.99922,0.50558,0.01161
63,-34535.86,6318.9,-0.0052,1.01611,0.50285,0.00268
64,-34940.79,5558.18,0.00222,0.9977,0.50107,0.00328
65,-35819.49,6380.95,-0.00204,0.9691,0.48251,0.00191
66,-35660.02,6743.21,-0.00397,0.99613,0.4941,0.00254
67,-34976.77,6640.87,-0.00396,0.99646,0.49426,0.00174
