,avg_rews,std_rews,avg_actor_loss,avg_critic_loss,avg_policy_loss,avg_kl_divergence
0,-30335.75,1590.06,0.39388,1.63551,1.21164,1.0
1,-42280.37,8659.65,0.25491,2.04967,1.27975,0.23929
2,-43808.18,9572.43,0.1116,2.12951,1.17636,0.12772
3,-43149.55,9568.72,0.08331,1.92819,1.04741,0.08922
4,-41133.53,9206.82,0.05905,1.65839,0.88824,0.06341
5,-40496.72,7710.92,0.03804,1.7648,0.92044,0.05856
6,-41083.66,8016.51,0.03723,1.66909,0.87177,0.05866
7,-41049.08,7337.07,0.02325,1.50952,0.778,0.03491
8,-42160.95,7746.08,0.02778,1.29989,0.67773,0.04883
9,-42738.8,8152.38,0.01614,1.33201,0.68214,0.04714
10,-42423.28,8224.22,0.02706,1.23132,0.64272,0.03718
11,-42150.13,8730.65,0.01116,1.16777,0.59504,0.03679
12,-40599.8,7907.77,0.01956,1.1741,0.60661,0.03848
13,-43042.15,8420.61,0.00648,1.17476,0.59386,0.03391
14,-40734.75,8513.62,0.01582,1.11966,0.57565,0.02821
15,-41071.73,8899.04,0.01486,1.14317,0.58645,0.02538
16,-41784.17,9112.83,0.02648,1.13803,0.59549,0.04554
17,-42973.58,8384.17,0.00493,1.11168,0.56077,0.01129
18,-41475.88,8092.84,0.00805,1.04188,0.52898,0.01152
19,-42215.86,9235.07,-0.00584,1.08118,0.53476,0.01071
20,-42274.33,8376.41,0.00711,1.08895,0.55158,0.01301
21,-41701.39,8197.5,-0.00398,1.04808,0.52006,0.00871
22,-43662.92,9383.61,-0.00223,1.03192,0.51372,0.00569
23,-41558.75,8362.84,-0.00272,1.02165,0.5081,0.00242
24,-40018.11,7363.72,-0.00444,1.05288,0.522,0.00113
25,-42528.0,8807.6,0.00137,1.00799,0.50537,0.00415
26,-42330.92,9306.67,-0.00208,0.99508,0.49546,0.00186
27,-41912.0,8555.47,0.00329,1.00808,0.50733,0.00604
28,-43109.46,9512.42,0.01317,0.99037,0.50836,0.01268
29,-40397.67,8345.18,0.00217,1.01705,0.5107,0.00366
30,-40632.66,7103.38,-0.00532,1.0144,0.50188,0.00082
31,-42550.09,8431.83,-0.00277,1.00056,0.49751,0.00179
32,-43079.07,8928.94,-0.00956,1.01548,0.49818,0.00774
33,-40669.04,7645.83,0.02263,0.98671,0.51598,0.00964
34,-41645.15,7772.23,0.00524,1.03172,0.5211,0.01457
35,-43318.77,9761.28,-0.00986,0.99309,0.48668,0.00868
36,-41462.8,8924.28,0.01732,0.97774,0.50619,0.01101
37,-43892.08,9213.07,0.0069,0.95711,0.48546,0.00978
38,-41226.94,7530.53,-0.02096,1.01828,0.48818,0.00921
39,-42583.23,8947.72,0.0125,0.97519,0.50009,0.01067
40,-43271.13,9904.02,0.01008,0.97881,0.49948,0.01486
41,-42655.66,8932.75,0.00312,1.02828,0.51726,0.01363
42,-41640.3,8417.07,-0.00416,0.99807,0.49487,0.00898
43,-40158.9,7478.6,0.0014,0.99249,0.49765,0.00685
44,-41183.48,8828.0,-0.0122,0.96699,0.4713,0.00465
45,-41951.62,9296.33,0.00505,0.96592,0.48801,0.00577
46,-42449.35,7856.66,-0.00462,1.02597,0.50836,0.00272
47,-40153.01,7649.24,-0.00212,1.08531,0.54054,0.00183
48,-41873.81,8691.12,0.00234,0.98346,0.49407,0.0013
49,-42886.54,8629.25,-0.00547,0.9998,0.49443,0.00083
50,-41902.32,9349.5,-0.00295,0.99396,0.49403,0.00048
51,-43764.08,9437.11,-0.00193,0.97684,0.48649,0.00242
52,-40932.58,8038.75,-0.00197,0.95292,0.47449,0.00187
53,-42443.07,8210.75,-0.00264,0.99682,0.49577,0.00044
54,-42505.22,8350.35,-0.005,1.00431,0.49716,0.00094
55,-42195.35,8263.03,-0.0025,1.02491,0.50996,0.00056
56,-40806.08,8072.0,-0.00226,1.00624,0.50086,0.00101
57,-40676.66,7962.38,-0.00445,0.99066,0.49088,0.00074
58,-40934.95,8051.46,-0.00328,1.01792,0.50568,0.00418
59,-42034.58,8563.71,-0.0145,1.0209,0.49595,0.0046
60,-41355.49,8802.82,0.00131,0.97742,0.49002,0.00512
61,-42334.84,9217.4,-0.00209,0.96696,0.48139,0.00145
62,-43317.76,8496.35,-0.00706,1.01934,0.50261,0.0012
63,-42609.22,8349.14,0.0024,1.02734,0.51607,0.00169
64,-41613.7,9428.67,-0.00668,0.99385,0.49025,0.00123
65,-41813.47,8728.42,-0.00285,0.98676,0.49053,0.00144
66,-41860.76,9045.14,-0.01034,1.02617,0.50274,0.00177
67,-43213.4,9552.86,-0.00572,1.00633,0.49745,0.00224
68,-41223.25,7872.12,0.0013,1.00413,0.50337,0.00193
69,-41451.59,7956.44,-0.00834,1.01816,0.50074,0.00247
70,-42553.64,9087.77,-0.00118,0.99593,0.49679,0.003
71,-41906.33,9650.54,-0.00515,1.00129,0.4955,0.00064
72,-40922.7,8243.65,0.00018,0.9739,0.48713,0.00078
73,-40672.8,7929.72,-0.00276,0.99216,0.49332,0.00237
74,-42324.97,8950.26,-0.00253,0.97366,0.4843,0.00074
75,-43405.31,10142.53,-0.00741,0.96881,0.47699,0.00123
76,-41405.05,7859.26,-0.00365,0.97661,0.48466,0.00041
77,-41941.6,7891.31,-0.00337,0.99539,0.49433,0.00042
78,-43444.91,9349.77,-0.00455,1.02073,0.50582,0.00131
79,-41796.66,8242.36,0.00068,1.03824,0.5198,0.00064
80,-42050.89,8439.77,-0.00543,1.03341,0.51128,0.00146
81,-42159.07,8403.52,-0.00187,1.01419,0.50522,0.00119
82,-43615.21,9865.47,-0.00498,0.98066,0.48536,0.00118
83,-41769.52,8660.45,-0.00547,1.00004,0.49455,0.00162
84,-42581.99,8914.02,-0.00591,0.97186,0.48002,0.00357
85,-42860.93,9187.38,-0.00579,0.97549,0.48196,0.00048
86,-40858.26,8611.49,-0.0072,0.98067,0.48313,0.00103
87,-42803.45,8749.93,-0.00103,0.92639,0.46216,0.00022
88,-41241.26,8554.97,-0.00298,0.99374,0.49389,0.00207
89,-41484.02,8278.76,0.00401,1.01043,0.50923,0.00264
90,-43626.98,8290.79,-0.00603,1.00423,0.49609,0.00121
91,-43084.32,8830.34,-0.00181,0.99396,0.49517,0.00082
92,-43554.74,9157.87,-0.00384,0.97319,0.48276,0.00146
93,-42012.56,8544.26,-0.00228,0.97148,0.48346,0.00043
94,-41235.1,8056.61,-0.00415,1.00071,0.4962,0.00045
95,-42097.77,7752.7,-0.011,1.00204,0.49002,0.00281
96,-41516.07,8654.04,-0.00242,0.97699,0.48608,0.00083
97,-42553.37,8944.67,-0.00601,0.99698,0.49248,0.00086
98,-41744.83,8318.86,-0.00277,0.97056,0.48252,0.00058
99,-41082.23,7943.9,-0.00371,1.0104,0.50149,0.00167
100,-42212.02,9466.41,-0.00148,0.99227,0.49465,0.00221
101,-41995.79,9143.51,-8e-05,0.9852,0.49252,0.00031
102,-43953.55,8837.05,-0.00242,0.97045,0.4828,0.00053
103,-41174.83,8682.28,-0.01071,0.98817,0.48338,0.00098
104,-41520.98,7548.54,-0.00388,0.97107,0.48166,0.00102
105,-42139.75,8945.98,-0.00011,0.99454,0.49715,0.00203
106,-42377.34,8739.89,-0.00181,0.9707,0.48354,0.00255
107,-40938.88,8702.44,-0.00467,0.99876,0.4947,0.00081
108,-41469.36,7658.77,-0.00208,0.97944,0.48764,0.00094
109,-40605.23,7787.33,-0.00916,1.00399,0.49284,0.00306
110,-42289.99,8691.73,-0.00355,0.99377,0.49333,0.00088
111,-41261.03,8495.0,-0.00183,0.98969,0.49301,0.00168
112,-42632.09,7508.69,-0.00016,1.00067,0.50018,0.00121
113,-41923.34,8183.13,-0.00063,0.98938,0.49406,0.00134
114,-42268.51,9020.25,-0.00631,0.96535,0.47636,0.00072
115,-42304.11,8604.03,-0.00064,0.98024,0.48948,0.00601
116,-41480.48,8484.66,0.0106,0.97298,0.49709,0.00619
117,-42109.37,9102.84,-0.00686,0.97253,0.4794,0.00381
118,-42793.3,9075.34,-0.00473,1.00284,0.49669,0.0035
119,-40567.47,7478.16,0.00053,0.98641,0.49373,0.0017
120,-41161.21,7963.71,-0.00345,0.97267,0.48289,0.00328
121,-42243.34,9129.95,-0.00422,1.00381,0.49769,0.00274
122,-41962.59,8506.53,-0.00677,0.96296,0.47471,0.00327
123,-42643.05,9397.85,-0.00165,0.9603,0.4785,0.00096
124,-41757.47,7570.87,-0.00823,0.97504,0.47929,0.00163
125,-42149.69,9282.79,-0.00335,0.97699,0.48515,0.00112
126,-39243.99,7509.19,-0.00653,0.98173,0.48434,0.00285
127,-42369.36,8311.44,0.00598,1.00142,0.50669,0.00474
128,-40514.93,7562.2,0.00143,0.97846,0.49066,0.00238
129,-42541.64,9162.52,-0.00266,0.98464,0.48966,0.00181
130,-41385.55,9238.82,-0.00419,0.9822,0.48691,0.0028
131,-42452.93,8302.95,-0.00532,0.98215,0.48575,0.00108
132,-43130.64,9494.19,-0.00754,0.98274,0.48382,0.00131
133,-42863.18,9765.12,-0.00122,0.97703,0.4873,0.00159
134,-41613.97,7277.12,-0.00881,1.00996,0.49618,0.00298
135,-41253.54,9226.84,-0.00208,0.98067,0.48825,0.00243
136,-42588.98,9795.43,-0.00896,0.98825,0.48517,0.00176
