+------------------+-----------+------+
|    Parameter     |   Value   | Unit |
+------------------+-----------+------+
| HPWL(vmid_x2_x1) |    2.08   |  um  |
|   HPWL(vbias_)   |   51.44   |  um  |
|    HPWL(VGND)    |   57.81   |  um  |
|  HPWL(vdts_x1)   |    5.54   |  um  |
|   HPWL(vcmfb_)   |   22.51   |  um  |
|    HPWL(Vocm)    |    0.0    |  um  |
|  HPWL(vcmi_x1)   |    7.08   |  um  |
|    HPWL(VPWR)    |   41.18   |  um  |
|    HPWL(Von)     |   42.52   |  um  |
|  HPWL(net1_x1)   |    2.08   |  um  |
|  HPWL(net2_x1)   |    0.82   |  um  |
|  HPWL(net3_x1)   |    0.84   |  um  |
|  HPWL(net4_x1)   |    0.82   |  um  |
|  HPWL(net8_x1)   |    0.82   |  um  |
|  HPWL(net7_x1)   |    0.84   |  um  |
|  HPWL(net6_x1)   |    0.82   |  um  |
|  HPWL(net5_x1)   |    0.84   |  um  |
|    HPWL(Vop)     |   37.49   |  um  |
|   HPWL(v1_x1)    |    9.01   |  um  |
|  HPWL(von1_x1)   |   22.22   |  um  |
|  HPWL(vop1_x1)   |   16.89   |  um  |
| HPWL(vmid_x1_x1) |    2.08   |  um  |
|     HPWL(vp)     |    6.48   |  um  |
|     HPWL(vn)     |   13.78   |  um  |
|    HPWL(Vin)     |    0.0    |  um  |
|     HPWL(v1)     |    0.83   |  um  |
|     HPWL(v2)     |    0.83   |  um  |
|    HPWL(Vip)     |    0.0    |  um  |
|    Total HPWL    |   347.65  |  um  |
|    Congestion    | 1463852.3 |  -   |
|      Width       |   36.28   |  um  |
|      Height      |    34.8   |  um  |
|       Area       |  1262.54  | um2  |
|      #Cells      |     24    |  -   |
+------------------+-----------+------+
