+----------+---------+-------+
| Net name |  Length | #Vias |
+----------+---------+-------+
|   VGND   | 12592.0 |   39  |
|  vbias   |  6068.0 |   20  |
|   VPWR   |  7835.0 |   34  |
|   Von    |  6397.0 |   12  |
|   Vop    |  4606.0 |   16  |
|  vcmfb   |  2366.0 |   4   |
|   von1   |  2252.0 |   10  |
|   vop1   |  2227.0 |   11  |
|    vn    |  1448.0 |   5   |
|    v1    |  1464.0 |   9   |
|    vp    |  916.0  |   5   |
|   vcmi   |  1008.0 |   5   |
|   vdts   |   26.0  |   4   |
|   net1   |  208.0  |   2   |
|   vmid   |  208.0  |   2   |
|   vmid   |  208.0  |   2   |
|   net6   |    82   |   2   |
|   net8   |    82   |   2   |
|   net4   |    82   |   2   |
|   net3   |    84   |   2   |
|   net1   |   84.0  |   2   |
|   Vip    |    0    |   1   |
|    v2    |   82.0  |   2   |
|    v1    |   84.0  |   2   |
|   Vin    |    0    |   1   |
|   net5   |    84   |   2   |
|   net7   |    84   |   2   |
|   net2   |    82   |   2   |
|   Vocm   |    0    |   1   |
+----------+---------+-------+
|  Total   | 50659.0 |  203  |
+----------+---------+-------+
