+------------------+------------+------+
|    Parameter     |   Value    | Unit |
+------------------+------------+------+
| HPWL(vmid_x2_x1) |    3.41    |  um  |
|   HPWL(vbias_)   |   43.77    |  um  |
|    HPWL(VGND)    |   58.88    |  um  |
|  HPWL(vdts_x1)   |    4.58    |  um  |
|   HPWL(vcmfb_)   |   11.03    |  um  |
|    HPWL(Vocm)    |    0.0     |  um  |
|  HPWL(vcmi_x1)   |    4.7     |  um  |
|    HPWL(VPWR)    |   35.74    |  um  |
|    HPWL(Von)     |   31.87    |  um  |
|  HPWL(net1_x1)   |    1.86    |  um  |
|  HPWL(net2_x1)   |    0.82    |  um  |
|  HPWL(net3_x1)   |    0.84    |  um  |
|  HPWL(net4_x1)   |    0.82    |  um  |
|  HPWL(net8_x1)   |    0.82    |  um  |
|  HPWL(net7_x1)   |    0.84    |  um  |
|  HPWL(net6_x1)   |    0.82    |  um  |
|  HPWL(net5_x1)   |    0.84    |  um  |
|    HPWL(Vop)     |   54.24    |  um  |
|   HPWL(v1_x1)    |   10.34    |  um  |
|  HPWL(von1_x1)   |    16.4    |  um  |
|  HPWL(vop1_x1)   |   15.06    |  um  |
| HPWL(vmid_x1_x1) |    3.41    |  um  |
|     HPWL(vp)     |   18.26    |  um  |
|     HPWL(vn)     |   23.86    |  um  |
|    HPWL(Vin)     |    0.0     |  um  |
|     HPWL(v1)     |    0.83    |  um  |
|     HPWL(v2)     |    0.83    |  um  |
|    HPWL(Vip)     |    0.0     |  um  |
|    Total HPWL    |   344.89   |  um  |
|    Congestion    | 1434463.37 |  -   |
|      Width       |   33.91    |  um  |
|      Height      |   33.18    |  um  |
|       Area       |  1125.13   | um2  |
|      #Cells      |     24     |  -   |
+------------------+------------+------+
