+----------+---------+-------+
| Net name |  Length | #Vias |
+----------+---------+-------+
|   VGND   | 12592.0 |   39  |
|  vbias   |  6068.0 |   20  |
|   Von    |  6113.0 |   12  |
|   VPWR   |  8187.0 |   32  |
|   Vop    |  4752.0 |   16  |
|   von1   |  2252.0 |   10  |
|   vop1   |  3058.0 |   11  |
|    vn    |  1586.0 |   7   |
|  vcmfb   |  2282.0 |   6   |
|    v1    |  1464.0 |   9   |
|   vdts   |   26.0  |   4   |
|   vcmi   |  1008.0 |   5   |
|    vp    |  944.0  |   5   |
|   net1   |  208.0  |   2   |
|   vmid   |  208.0  |   2   |
|   vmid   |  208.0  |   2   |
|   Vip    |    0    |   1   |
|   net8   |    82   |   2   |
|    v1    |   84.0  |   2   |
|   net4   |    82   |   2   |
|   net3   |    84   |   2   |
|   net6   |    82   |   2   |
|   net7   |    84   |   2   |
|    v2    |   82.0  |   2   |
|   Vin    |    0    |   1   |
|   net1   |   84.0  |   2   |
|   net2   |    82   |   2   |
|   net5   |    84   |   2   |
|   Vocm   |    0    |   1   |
+----------+---------+-------+
|  Total   | 51786.0 |  205  |
+----------+---------+-------+
