+----------+---------+-------+
| Net name |  Length | #Vias |
+----------+---------+-------+
|   VGND   | 12238.0 |   37  |
|   Vop    |  6919.0 |   12  |
|  vbias   |  6304.0 |   20  |
|   VPWR   |  8696.0 |   26  |
|   Von    |  3544.0 |   14  |
|   vop1   |  2844.0 |   11  |
|   von1   |  2150.0 |   10  |
|    vn    |  1966.0 |   7   |
|    vp    |  1314.0 |   3   |
|  vcmfb   |  2174.0 |   6   |
|    v1    |  1686.0 |   11  |
|   vdts   |  226.0  |   6   |
|   vcmi   |  470.0  |   7   |
|   vmid   |  560.0  |   4   |
|   vmid   |  646.0  |   4   |
|   net1   |  186.0  |   2   |
|   Vip    |    0    |   1   |
|   net8   |   82.0  |   2   |
|    v1    |   82.0  |   2   |
|   net4   |   82.0  |   2   |
|   net3   |    84   |   2   |
|   net6   |    82   |   2   |
|   net7   |   84.0  |   2   |
|    v2    |   84.0  |   2   |
|   Vin    |    0    |   1   |
|   net1   |   84.0  |   2   |
|   net2   |   82.0  |   2   |
|   net5   |   84.0  |   2   |
|   Vocm   |    0    |   1   |
+----------+---------+-------+
|  Total   | 52753.0 |  203  |
+----------+---------+-------+
